asn,isp
1001,Academy City Internet LLC
1002,Veilios Hosting LLC
1003,andrewnet
1004,Ambyre LLC
1008,GANJINGWORLD CORPORATION
1009,Air Force Technical Applications Center
1010,Walnut Hill Communications
1011,Accutar Biotechnology (Canada) Inc.
1015,Server Starter Host LLC
1017,Mystic Unlimited Inc.
1018,Zappie Host LLC
1019,Sotera Health
1020,Midwest Cable
1021,CV Tech
1023,COMPUTER TEAM INC.
1024,12393239 Canada Inc
1025,Valor Christian High School
1027,TNT WiFi LLC
1031,Peer 1 Internet Service LLC
1033,HEWLETT PACKARD ENTERPRISE COMPANY
1034,HEWLETT PACKARD ENTERPRISE COMPANY
1035,Kimberly-Clark Corporation
1040,Academy City Internet LLC
1041,Kimberly-Clark Corporation
1043,KSP Technology
1044,Blinn College
1045,ZS Associates Inc
1050,Onvox LLC
1053,BearCom Operating LLC
1055,City of Manteca
1057,Falcon Wireless LLC
1058,MCPc Inc.
1059,GETTR
1062,City of Emmett
1064,Rivulet Wireless Inc.
1065,Tangerine Global
1067,Hamilton County Ohio
1075,Wiseinfotec.net LLC
1076,TNC Wireless Limited
1077,ActivePure Technologies LLC
1080,Water and Power Community Credit Union
1082,Zenith American Solutions Inc.
1083,AGK Consulting Inc.
1084,Intermountain Medical Imaging
1085,Prairie Crocus Rural Internet Limited
1086,Get LLC
1087,Bloomington Public School District
1088,FastBridge Fiber
1097,Aeron Broadband
1098,Snap One LLC.
1100,Nuday Networks Inc.
1101,SURF B.V.
1102,SURF B.V.
1103,SURF B.V.
1104,Stichting Nederlandse Wetenschappelijk Onderzoek Instituten
1109,Universitaet Salzburg
1110,University of Innsbruck
1111,Universitaet Klagenfurt
1112,Montanuniversitaet Leoben
1113,Technische Universitaet Graz
1114,Universitaet Graz
1115,Austrian Academy of Sciences
1117,Universitaet fur Bodenkultur Wien
1120,ACONET
1124,Universiteit van Amsterdam
1126,Vancis Advanced ICT Services
1128,SURF B.V.
1133,SURF B.V.
1136,KPN B.V.
1140,Stichting Internet Domeinregistratie Nederland
1145,SURF B.V.
1147,SURF B.V.
1149,SURF B.V.
1152,SURF B.V.
1161,SURF B.V.
1197,Network Ability Limited
1200,Amsterdam Internet Exchange B.V.
1201,Old Dominion University
1204,State University of New York Central
1205,University Linz
1206,Pittsburgh Supercomputing Center
1207,Pittsburgh Supercomputing Center
1208,DoD Network Information Center
1213,HEAnet
1215,Oracle Corporation
1216,Oracle Corporation
1217,Oracle Corporation
1218,Oracle Corporation
1219,Oracle Corporation
1221,Telstra Corporation Limited
1222,EL PASO COMMUNITY COLLEGE
1224,National Center for Supercomputing Applications
1225,NTT America Inc.
1226,California Department of Technology
1234,Fortum
1237,KISTI
1239,Sprint
1241,Forthnet
1246,Zito Media
1248,HERE Global BV
1249,Five Colleges Network
1251,FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO
1252,University of Nebraska Medical Center
1255,Smith College
1256,Massachusetts Education Computer Network
1257,Tele2 Sverige AB
1258,XKL LLC
1261,National Instruments Corporation
1265,Saint Mary's College
1267,ASN-WINDTRE
1270,UUNET Germany
1271,Deutsche Telekom Technik GmbH / T-CNF
1273,Vodafone Group PLC
1277,vXchnge Operating LLC
1280,Internet Systems Consortium Inc.
1286,Altay Corporation
1287,Professional Education Institute
1289,Colgate University
1290,Telstra Europe Ltd
1293,HP Inc.
1294,NTT DATA Services Holdings Corporation
1299,Arelion Sweden AB
1301,Electricite de France SA
1303,Renater
1307,Renater
1311,BARRA
1312,Virginia Polytechnic Institute and State Univ.
1313,Adobe Systems Inc.
1315,Imperial PFS
1321,Advanced Networks & Services Inc.
1323,Advanced Networks & Services Inc.
1325,Advanced Networks & Services Inc.
1326,Advanced Networks & Services Inc.
1339,Advanced Networks & Services Inc.
1341,Rockwell Collins Inc.
1342,Fujitsu Invia Finland IP-network
1347,Inteliquent inc.
1348,California Department of Transportation
1350,Sears Technology Services Incorporated
1351,University of Vermont
1355,AbelsonTaylor Inc.
1358,Hughes Network Systems Inc.
1360,Mayfield Electric & Water Systems
1378,Interbel Telephone Cooperative Inc.
1379,SINCH INTERCONNECT LLC
1380,McVEAN Trading & Investments LLC
1383,Advanced Networks & Services Inc.
1399,ThinkTech Inc
1401,DSW Information Technology LLC.
1403,EBOX
1406,Motorola Inc
1407,Quotemedia
1410,SMITH BAGLEY INC
1411,Christopher Newport University
1412,Gravity Interactive Inc.
1414,Genuine Parts Company
1415,Christus Health
1416,Chicago Public Schools
1419,Selerity Financial Inc.
1420,STL OFFICE SOLUTIONS INC.
1421,WANSecurity Inc.
1422,Media6degrees
1423,Carson Communications LLC
1428,DRW Holdings LLC
1430,Board of Bar Overseers
1432,Albion College
1435,New WT Miami LLC
1436,Meridian Health System
1437,Visonex LLC
1438,PIONEER STATE MUTUAL INSURANCE CO.
1439,Spring Branch Independent School District
1440,Alford Media Services Inc.
1441,360 Communications INC
1442,SureHosting Internet Solutions Inc.
1443,CooperVision Inc.
1444,Virtual Care Provider Inc.
1445,Milliman Inc.
1446,Tutor Perini Corporation
1447,Chipotle Mexican Grill INC
1448,United Cooperative Services
1449,PayPal Inc.
1493,Headquarters USAISC
1501,Headquarters USAISC
1502,Headquarters USAISC
1508,Headquarters USAISC
1516,Headquarters USAISC
1527,Headquarters USAISC
1530,Headquarters USAISC
1539,Headquarters USAISC
1544,Headquarters USAISC
1547,Societatea mixta pe actiuni de tip inchis Interdnestrcom
1551,DoD Network Information Center
1553,DoD Network Information Center
1554,DoD Network Information Center
1555,DoD Network Information Center
1556,DoD Network Information Center
1559,DoD Network Information Center
1561,DoD Network Information Center
1562,DoD Network Information Center
1563,DoD Network Information Center
1565,DoD Network Information Center
1566,DoD Network Information Center
1567,DoD Network Information Center
1568,DoD Network Information Center
1580,DoD Network Information Center
1586,DoD Network Information Center
1590,DoD Network Information Center
1599,DoD Network Information Center
1600,DoD Network Information Center
1602,Headquarters USAISC
1603,Henderson State University
1604,TBCDSB
1605,Allegiant Travel Company
1606,Excelenet Inc
1609,Global Imaging Systems Inc
1610,Contegix
1611,Mabel Cooperative Telephone Company
1612,Flux Telecom LLC
1614,IOWA STUDENT LOAN LIQUIDITY CORP.
1615,Exelixis Inc.
1616,CoreLink Data Centers
1617,Jacobs Levy Equity Management Inc.
1620,doelegal llc
1621,Securian Financial Group Inc.
1622,NCH Capital Inc.
1625,CoreSpace Inc.
1627,TowneBank
1631,Radnet Management Inc.
1632,SONIC HEALTHCARE USA INC.
1633,353233 Alberta LTD
1634,Bluewater District School Board
1635,Weidenhammer
1636,-Reserved AS-
1637,Headquarters USAISC
1638,Mott Community College
1640,Thacker-Grigsby Communications
1641,Staples Contract & Commercial Inc.
1642,Colorcon Inc
1643,Brockway Television Inc.
1645,PACHEZ HOLDINGS LTD.
1646,American Solutions for Business
1647,Interop Technologies
1648,Jefferson Parish School Board
1649,Headquarters USAISC
1650,Cambridge Public Schools
1651,Cablelynx
1652,MIDFLORIDA Federal Credit Union
1653,Vetenskapsradet / SUNET
1657,University of Louisville
1659,Taiwan Academic Network (TANet) Information Center
1661,ANS Communications
1663,Bertelsmann AG
1666,ANS Communications
1670,ANS Communications
1676,Trane US INC.
1678,The Dow Chemical Company
1680,Cellcom Fixed Line Communication L.P.
1689,ANS Communications
1696,Citigroup Inc.
1699,ANS Communications
1700,Rice University
1701,National Aeronautics and Space Administration
1702,CHICAGO STATE UNIVERSITY
1704,Korea Advanced Institute of Science and Technology
1706,University of Arizona
1712,Renater
1715,Renater
1724,Renater
1729,Telia Company AB
1730,Rexall Pharmacy Group ULC
1733,DoD Network Information Center
1734,Contra Costa County Regional Occupation Program / Richmond
1736,Marquette University
1738,OP Osuuskunta
1741,FUNETAS
1742,Harvard University
1746,Data Research Associates Inc.
1747,IBM T.J. Watson Research Center
1751,Lexmark International Inc.
1754,Deutsches Elektronen-Synchrotron DESY
1755,Svensk Teleutveckling & Produktinnovation STUPI AB
1756,Shiraz Hamyar Co.
1757,RELX inc.
1759,Telia Finland Oyj
1761,General Services Commission
1764,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH
1766,Exxon Mobil Corporation
1767,Indiana Higher Education Telecommunication System
1770,Ringstad Consulting ENK
1771,X.25 Holding AS
1772,Navy Network Information Center (NNIC)
1776,WU (Wirtschaftsuniversitaet Wien) - Vienna University of Economics and Business
1777,Saint Xavier University
1780,Valmet Oyj
1781,Korea Advanced Institute of Science and Technology
1782,QIAGEN SHARED SERVICES LLC
1787,Thomson Reuters U.S. LLC
1789,Sprint
1790,Sprint
1797,Uruguay
1798,State of Oregon
1803,Sprint
1809,Performance Team
1818,DIALOG TELECOMMUNICATIONS INC.
1819,DCM Cable Inc.
1820,WNET TELECOM USA Corp.
1821,Network Innovations Inc.
1823,Hannah Motor Company
1824,Vertisoft
1825,SetClear Pte. Ltd.
1826,University of Arkansas-Fort Smith
1827,Manatee County Government
1828,Unitas Global LLC
1830,Gulf Coast State College
1831,ITESO A.C.
1832,Southern Methodist University
1835,Forskningsnettet - Danish network for Research and Education
1836,green.ch AG
1837,The North Atlantic Treaty Organization
1840,Universidad de Las Americas-Puebla
1842,United States Geological Survey
1843,National Aeronautics and Space Administration
1848,National Aeronautics and Space Administration
1850,Internet a Islandi hf
1851,The University of Adelaide
1852,University of California - Office of the President
1853,ACONET
1855,Raytheon BBN Technologies Corp.
1878,Svensk Teleutveckling & Produktinnovation STUPI AB
1879,Svensk Teleutveckling & Produktinnovation STUPI AB
1880,Svensk Teleutveckling & Produktinnovation STUPI AB
1881,FMV
1882,Svensk Teleutveckling & Produktinnovation STUPI AB
1883,Svensk Teleutveckling & Produktinnovation STUPI AB
1885,Seker Sigorta AS
1886,BT NET d.o.o. za trgovinu i usluge
1887,NAUKOWA I AKADEMICKA SIEC KOMPUTEROWA INSTYTUT BADAWCZY
1888,Stichting Centrum voor Wiskunde en Informatica
1890,Verizon Nederland B.V.
1897,NOS COMUNICACOES S.A.
1898,Torsten Blum
1901,A1 Telekom Austria AG
1902,Deutsche Telekom Pan-Net s.r.o.
1904,DoD Network Information Center
1906,Northrop Grumman
1907,Single Source Network Systems Inc.
1908,DoD Network Information Center
1909,San Diego Supercomputer Center
1911,DoD Network Information Center
1913,DoD Network Information Center
1916,Rede Nacional de Ensino e Pesquisa
1921,ipcom GmbH
1926,Tampere University Foundation
1929,University of Massachusetts
1930,Fundacao para a Ciencia e a Tecnologia I.P.
1932,Consolidated Edison Co. of New York Inc.
1935,Renater
1938,Renater
1942,Renater
1945,Renater
1955,KIFU (Governmental Info Tech Development Agency)
1956,IBM
1958,NCR Corporation
1959,DoD Network Information Center
1965,Vistra Corporate Services Company
1967,Middle East Technical University / Orta Dogu Teknik Universitesi
1968,University of Massachusettes
1970,Texas A&M University
1974,Southern Maine Medical Center
1975,PROQUEST LLC
1982,Northwest Nexus Inc.
1983,Bernalillo County
1996,Fairdinkum Consulting LLC
1998,State of Minnesota
1999,U.S. House of Representatives
2002,IBM Corporation
2003,Electric Power Research Institute
2011,Wells Fargo & Company
2012,ELTENET
2013,PG&E
2015,Msen Inc.
2018,TENET (The UNINET Project)
2020,Adhesives Research Inc.
2021,Unisys Corporation
2024,Eversource Energy
2025,University of Toledo
2027,MilkyWan Association
2030,The Boeing Company
2031,American Water Works Company Inc.
2033,Panix Network Information Center
2036,JOANNEUM RESEARCH
2037,California State University at Fresno
2041,St. Norbert College
2042,zhelet limited
2043,KPN B.V.
2044,Digital Fortress
2046,DoD Network Information Center
2047,Hoffmann - La Roche Ltd.
2048,State of Louisiana Office of Technology Services
2055,Louisiana State University
2060,Renater
2067,Renater
