Channel Name,EPG Code (tvg-id),ID
1+1,o2-162,1plus1
:24,o2-164,RTVS24
Africké nebe,o2-777,Africké nebe
Akvárium,o2-888,Akvárium
Al Jazeera,o2-149,Al Jazeera
AMC HD,horizon-10024,SK#slk#lgi-obolite-sk-prod-master:10024
Animal Planet HD,horizon-10049,SK#slk#lgi-obolite-sk-prod-master:10049
Animal Planet HD,o2-60,Animal Planet HD
Arena Sport 1,ArenaSport1.sk,Arena+Sport+1
Arena Sport 2,ArenaSport2.sk,Arena+Sport+2
Auto Motor Sport,horizon-10077,SK#slk#lgi-obolite-sk-prod-master:10077
Auto Motor Sport HD,o2-115,AutoMotorSport HD
AXN,AXNEurope.gr,AXN
AXN Black,AXNBlack.us,AXN+Black
AXN White,AXNWhite.us,AXN+White
BabesTV HD,horizon-10187,SK#slk#lgi-obolite-sk-prod-master:10187
Barrandov Krimi HD,horizon-10033,SK#slk#lgi-obolite-sk-prod-master:10033
Barrandov TV HD,horizon-10032,SK#slk#lgi-obolite-sk-prod-master:10032
BBC World News,o2-18,BBC World News
Bloomberg,o2-145,Bloomberg
Bober,horizon-10178,SK#slk#lgi-obolite-sk-prod-master:10178
Boomerang,o2-97,Boomerang
Brazzers TV HD,horizon-10188,SK#slk#lgi-obolite-sk-prod-master:10188
Canal + Domo,CanalPlusDomo.pl,Canal%2B+Domo
Canal + Sport,CanalPlusSport.pl,Canal%2B+Sport
Carousel,horizon-10180,SK#slk#lgi-obolite-sk-prod-master:10180
Cartoon Network,CartoonNetworkCzechRepublic.cz,Cartoon+Network
Cartoon Network HD,horizon-10091,SK#slk#lgi-obolite-sk-prod-master:10091
Cartoon Network HD,o2-96,Cartoon Network
CBS Reality,horizon-10050,SK#slk#lgi-obolite-sk-prod-master:10050
CH1 Russia,o2-157,CH1 Russia
Channel One Russia HD,horizon-10172,SK#slk#lgi-obolite-sk-prod-master:10172
Chuck,ChuckTV.sk,Chuck%20TV
Cinemax 2 HD,horizon-10124,SK#slk#lgi-obolite-sk-prod-master:10124
Cinemax 2 HD,o2-34,Cinemax 2 HD
Cinemax HD,horizon-10123,SK#slk#lgi-obolite-sk-prod-master:10123
Cinemax HD,o2-33,Cinemax HD
Club MTV,horizon-10094,SK#slk#lgi-obolite-sk-prod-master:10094
Club MTV,o2-127,MTV Dance
CNBC Europe HD,horizon-10110,SK#slk#lgi-obolite-sk-prod-master:10110
CNN,horizon-10108,SK#slk#lgi-obolite-sk-prod-master:10108
CNN,o2-142,CNN
CNN Prima News,o2-141,CNNPrimaNews
CNN Prima News HD,horizon-10026,SK#slk#lgi-obolite-sk-prod-master:10026
Cool TV,horizon-10149,SK#slk#lgi-obolite-sk-prod-master:10149
Crime and Investigation,horizon-10051,SK#slk#lgi-obolite-sk-prod-master:10051
Crime+Investigation,o2-63,CrimeInvestigation
CS Film,o2-38,CS Film
CS Film CS Horror HD,horizon-10046,SK#slk#lgi-obolite-sk-prod-master:10046
CS History,horizon-10047,SK#slk#lgi-obolite-sk-prod-master:10047
CS History,o2-61,CSHistory
CS Horror,o2-49,HOROR FILM
CS Mystery,horizon-10048,SK#slk#lgi-obolite-sk-prod-master:10048
CT 1 HD,horizon-10018,SK#slk#lgi-obolite-sk-prod-master:10018
CT 2 HD,horizon-10019,SK#slk#lgi-obolite-sk-prod-master:10019
CT 24 HD,horizon-10021,SK#slk#lgi-obolite-sk-prod-master:10021
CT 3 HD,horizon-10017,SK#slk#lgi-obolite-sk-prod-master:10017
CT D HD / CT art HD,horizon-10020,SK#slk#lgi-obolite-sk-prod-master:10020
CT sport HD,horizon-10082,SK#slk#lgi-obolite-sk-prod-master:10082
Current Time,horizon-10194,SK#slk#lgi-obolite-sk-prod-master:10194
Dajto HD,horizon-10008,SK#slk#lgi-obolite-sk-prod-master:10008
Deutsche Welle,horizon-10109,SK#slk#lgi-obolite-sk-prod-master:10109
Deutsche Welle,o2-147,Deutsche Welle
Discovery HD,horizon-10052,SK#slk#lgi-obolite-sk-prod-master:10052
Discovery HD,o2-56,Discovery
Discovery Science,o2-58,Discovery Science
Discovery Science HD,horizon-10053,SK#slk#lgi-obolite-sk-prod-master:10053
