xmltv_id,site_id,name,channelNumber,logoUrl
733,al_jazeera_english,Al Jazeera English,164,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/8b8c80852b1c0a5e11e2558c7cc4f1a9.svg
732,al_jazeera,Al Jazeera,165,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/aaa573fe62834de165459c6379effda5.svg
749,amc,AMC,92,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/89bbcd29640a7f8554f374c52510c6c6.svg
588,animal_planet,Animal Planet,74,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/22d1423b143aad8e6e72126a7b01eb3a.svg
1161,arcadia_tv,Arcadia TV,33,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/a4b5488aae7b9ee54feb80af3cedaa9e.svg
426,arena_sport_1,Arena Sport 1,61,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/7bb283b098043c80d771519c05a264c8.svg
849,arena_sport_2,Arena Sport 2,62,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/fb00a0489b24a8a62a52fce8c7ca09cb.svg
1076,arirang_tv,Arirang TV,162,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/fd01e93f96849d65e5487042868d6516.svg
883,armenia_1_tv,Armenia 1 TV,159,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/c7e5533184889bd9ab47896d978dad2e.svg
688,auto_motor_und_sport,Auto Motor und Sport,63,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/4bc4980aab96f89c6066393973591661.svg
422,axn_black,AXN Black,96,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/be7739a317d37eb357d1b703129f2fb4.svg
421,axn_white,AXN White,95,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/e588d1c20649007483b79823faad9cd8.svg
591,axn,AXN,94,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/8784d41cda66c4ac2b5daef9e69bf183.svg
630,regionalni_televize,A11,52,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/c85d15ea68690a4b33db30020bdcc3db.svg
451,barrandov_plus,Barrandov Krimi,51,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/154fe5ee8024a98cf41e0cb7d94706da.svg
460,barrandov,Barrandov,49,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/1a5f0d7557ca176b19dd73b42532df0d.svg
627,cetv,CETV,143,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/edbf0d7e40a306b041cf241d1589ed07.svg
536,cgtn_documentary,CGTN Documentary,172,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/1eb528efd1abece2f42da396ffe58bfb.svg
661,cgtn,CGTN,171,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/1a361492e065a56c44e27acb4f2aa46f.svg
389,cinemax_2,Cinemax 2,91,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/65100e9df31ce74d83d34bff468792bb.svg
702,cinemax,Cinemax,90,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/669e22610de5442e826adfc069405ef6.svg
446,mtv_dance,club MTV,175,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/f56516539de4a1c5822929837567c2c4.svg
1236,prima_news,CNN Prima News,44,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/beac74e18415c0d9f56926529f4001d5.svg
645,crime_investigation,Crime & Investigation,77,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/187a261b08dcd81e5966977d13c5eaf1.svg
1423,current_time,Current Time,158,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/69a5c765d9fbc532ae49d9e2cb92f10c.svg
453,ct_detem_ct_art,ČT :D - ČT art,41,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/18ec82538f56a8ff0365a37afe2130ae.svg
602,ct_1,ČT1,38,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/89f8dc13317fb6802334c16ca15379c8.svg
605,ct_2,ČT2,39,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/e3b13acc7c1107459ce5a79ecd5ee509.svg
606,ct_24,ČT24,40,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/4b057e943a1ce6fcaf81ce83b909777b.svg
469,dajto,DajTo,10,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/b3a07de118d35983c4fc91605c47e0c3.svg
589,discovery,Discovery,68,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/a6f7e04cc1ae359a84746eb0c4ed460b.svg
581,disney_channel,Disney Channel,108,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/7a17b806af60e71d01e45083c142f35c.svg
580,disney_junior,Disney Junior,109,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/314204495cc598a49f96026509a8fb49.svg
720,docubox_hd,DocuBox,106,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/02ee5b07770f2f0b775df6df317dca16.svg
1508,doktor_tv,Doktor TV,79,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/b44b71db0fe4a78946d15d6d90719820.svg
470,doma,Doma,11,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/6f8a77da26a88ed1dc01c3bf0335831c.svg
1219,duck_tv_plus,Duck TV Plus,116,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/06e9c17779fa6446a8741f7369c4e276.svg
614,duck_tv,Duck TV,115,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/ebedc1453f7aa2820299843cf9fa5959.svg
472,stv_2,Dvojka,2,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/dbcdc98ea8db55d1ac282a3361aa6ff2.svg
414,english_club_tv,English Club TV,82,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/e25b013f7698ca62a7fbd8f943b50f5a.svg
1419,epsreso_tv,Espreso TV,157,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/de2d073da38fb91246eba917c1c78c85.svg
544,euronews,Euronews,160,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/3358484bc58ed4d8e2937f6ee51165ad.svg
753,eurosport_1,Eurosport 1,57,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/723410b6d48888070012c0691a65afef.svg
586,eurosport_2,Eurosport 2,58,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/53556522790a0b05d647d7d5c27eed51.svg
718,fashionbox_hd,FashionBox,104,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/b37a4372a4b1fcfe48625f6e79d7b803.svg
409,fashion_tv,Fashion TV Czech & Slovak,53,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/e50d4f5967b58983419172b5d8846ccd.svg
719,fast_and_funbox_hd,Fast and Funbox,105,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/b3787cf05b2d7c45d85df9a4bd463ef1.svg
716,fightbox_hd,FightBox,102,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/d041441ede9d38de342dded720b81cd9.svg
717,filmbox_arthouse,Filmbox Arthouse,103,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/4560d8e1a2a94e0ff49d077e5bf28693.svg
687,filmbox_extra_hd,FilmBox Extra,98,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/34790002afbeaec3aefb15eebe69059a.svg
715,filmbox_family,FilmBox Family,100,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/55de4cad03d4cf2bc5f250ecde34e710.svg
725,filmbox_premium,FilmBox Premium,99,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/d03d8019b5d554bdda07411b1125eb37.svg
415,filmbox_plus,FilmBox Stars,101,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/dffd645341e06809a86df54882ea2a54.svg
412,filmbox,FilmBox,97,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/391528aa0c3f572dc22822ee4f3525a4.svg
592,film_plus,Film +,93,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/2b999ab7d2f48e7f093f316704cd8e9c.svg
425,fishing_and_hunting,Fishing&Hunting,86,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/d64563947022edf4be13172dd289f166.svg
1335,folklorika,Folklorika,29,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/23298e5fe2550ce68c1d9b85f6990c69.svg
1079,food_network,Food Network,73,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/c0e751b6e9a9f8cbf1b42cc3b03c2e4a.svg
548,france_24_english,France 24 English,167,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/bb911aa75776374311dfd6a023a93eb9.svg
549,france24,France 24,168,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/9fade1a51298d184f92be8f3968015e8.svg
860,golf_channel,Golf Channel,64,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/14b321b355a467a5a0fc59ac49a487c6.svg
385,hbo_2,HBO 2,88,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/60544b048cabc23f5443f45e55bb0815.svg
387,hbo_3,HBO 3,89,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/58921731f3357f0a6ec5ed7cbb5c6ca6.svg
386,hbo,HBO,87,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/8b2dfe5d312dbc3bb733028f2dad1bcf.svg
1429,hgtv,HGTV,70,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/cf74382b49d5b088fc4a43179df9af8a.svg
416,history_channel,History Channel,75,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/475fd95b51e068db7e81c8f77c93d5dc.svg
1308,history_2,History 2,76,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/04d055bb2543bcd043e6229549d4e5d1.svg
694,investigation_discovery,ID,69,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/bd3bb1f3d23a076269b282f01d738020.svg
596,stv_1,Jednotka,1,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/b5999a971c61bce3f20e6dd45d070ffd.svg
579,jim_jam,JimJam,113,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/a98cbd6d7e123fa422d34ceb458dc2c7.svg
1246,joj_cinema_plus_jedna,JOJ Cinema +1,18,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/fb2c6fd9262372f9ea9ce827111160f7.svg
595,joj_cinema,JOJ Cinema,17,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/800244a29155204f4df7cf9e15f604ab.svg
598,rik,Jojko,22,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/5798e668488c086ddfe78922352487bf.svg
597,joj_plus,JOJ Plus,13,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/1ff8c553aa165983f010c6a5938ec32b.svg
1517,joj_svet,JOJ Svet,16,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/5f573d7409f02c754b1cb8cfe4bc0164.svg
1374,joj_sport,JOJ Šport,14,https://static.maxim.iptv.antik.sk/app/assets/upload/channels/14af30c201720856221c639dc2ba3bef.svg
