Channel Name,EPG Code (tvg-id),ID
1+1,o2-162,1plus1
360 TuneBox HD,horizon-10200,lgi-obolite-sk-prod-master:10200
360TuneBox,mujtvprogram-367,367
:24,o2-164,RTVS24
ABC TV,programandroid-1337,1337
Africké nebe,o2-777,Africké nebe
Akvárium,o2-888,Akvárium
Al Jazeera,o2-149,Al Jazeera
AMC,mujtvprogram-394,394
AMC,programandroid-82,82
AMC HD,horizon-10024,lgi-obolite-sk-prod-master:10024
Animal Planet,mujtvprogram-11,11
Animal Planet HD,horizon-10049,lgi-obolite-sk-prod-master:10049
Animal Planet HD,o2-60,Animal Planet HD
AnimalPlanet,programandroid-28,28
Arcadia,programandroid-1514,1514
Arena Sport 1,ArenaSport1.sk,Arena+Sport+1
Arena Sport 1,mujtvprogram-344,344
Arena Sport 1,programandroid-687,687
Arena Sport 2,ArenaSport2.sk,Arena+Sport+2
Arena Sport 2,mujtvprogram-379,379
Arena Sport 2,programandroid-800,800
Auto Motor Sport,horizon-10077,lgi-obolite-sk-prod-master:10077
Auto Motor Sport,programandroid-704,704
Auto Motor Sport  HD,mujtvprogram-453,453
Auto Motor Sport HD,o2-115,AutoMotorSport HD
AXN,AXNEurope.gr,AXN
AXN,mujtvprogram-9,9
AXN,o2-47,AXN
AXN,programandroid-55,55
AXN Black,AXNBlack.us,AXN+Black
AXN Black,mujtvprogram-369,369
AXN Black,programandroid-125,125
AXN Digi TV,programandroid-216,216
AXN HD,programandroid-883,883
AXN White,AXNWhite.us,AXN+White
AXN White,mujtvprogram-370,370
AXN White,programandroid-126,126
B in Balance (sk),programandroid-1472,1472
BabesTV HD,horizon-10187,lgi-obolite-sk-prod-master:10187
Baby TV,mujtvprogram-108,108
Barrandov,programandroid-215,215
Barrandov Krimi,mujtvprogram-455,455
Barrandov Krimi,programandroid-1020,1020
Barrandov Krimi HD,horizon-10033,lgi-obolite-sk-prod-master:10033
Barrandov TV HD,horizon-10032,lgi-obolite-sk-prod-master:10032
BBC World News,o2-18,BBC World News
Bloomberg,o2-145,Bloomberg
Blue Hustler,mujtvprogram-146,146
Bober,horizon-10178,lgi-obolite-sk-prod-master:10178
Boomerang,mujtvprogram-73,73
Boomerang,o2-97,Boomerang
Brazzers TV Europe,mujtvprogram-377,377
Brazzers TV HD,horizon-10188,lgi-obolite-sk-prod-master:10188
Canal + Domo,CanalPlusDomo.pl,Canal%2B+Domo
Canal + Sport,CanalPlusSport.pl,Canal%2B+Sport
Canal+ Action,programandroid-15476,15476
CANAL+ Sport,mujtvprogram-1040,1040
Canal+ Sport,programandroid-15412,15412
Carousel,horizon-10180,lgi-obolite-sk-prod-master:10180
Cartoon Network,CartoonNetworkCzechRepublic.cz,Cartoon+Network
Cartoon Network,mujtvprogram-326,326
Cartoon Network,programandroid-168,168
