xmltv_id,site_id,name,channelNumber,logoUrl
filmbox-1,72,Filmbox,1,https://c.sledujfilmbox.cz/files/epg/tv/72.png
filmbox-4,76,Filmbox Stars,4,https://c.sledujfilmbox.cz/files/epg/tv/76.png
filmbox-3,182,Filmbox Extra HD,3,https://c.sledujfilmbox.cz/files/epg/tv/182.png
filmbox-5,576,Filmbox Family,5,https://c.sledujfilmbox.cz/files/epg/tv/576.png
filmbox-8,590,Fightbox HD,8,https://c.sledujfilmbox.cz/files/epg/tv/590.png
filmbox-2,592,Filmbox Premium HD,2,https://c.sledujfilmbox.cz/files/epg/tv/592.png
filmbox-13,731,Eroxxx HD,13,https://c.sledujfilmbox.cz/files/epg/tv/731.png
filmbox-7,733,Docubox HD,7,https://c.sledujfilmbox.cz/files/epg/tv/733.png
filmbox-9,734,Fashionbox HD,9,https://c.sledujfilmbox.cz/files/epg/tv/734.png
filmbox-11,841,360TuneBox,11,https://c.sledujfilmbox.cz/files/epg/tv/841.png
filmbox-6,982,Filmbox Arthouse,6,https://c.sledujfilmbox.cz/files/epg/tv/982.png
filmbox-10,983,Fast&Funbox HD,10,https://c.sledujfilmbox.cz/files/epg/tv/983.png
