xmltv_id,site_id,name,channelNumber,logoUrl
horizon-10024,lgi-obolite-sk-prod-master:10024,AMC HD,27,https://staticqbr-sk-prod.prod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/8200.f.AMC_HD.png?style=content-station-logo-medium
horizon-10049,lgi-obolite-sk-prod-master:10049,Animal Planet HD,150,https://staticqbr-sk-prod.prod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/5000.f.Animal_Planet_HD.png?style=content-station-logo-medium
horizon-10077,lgi-obolite-sk-prod-master:10077,Auto Motor Sport,207,https://staticqbr-sk-prod.prod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/483_20030_c_a8656683994a04e1456c9f3df4209ac7.Auto_Motor_Sport_SK.png?style=content-station-logo-medium
horizon-10187,lgi-obolite-sk-prod-master:10187,BabesTV HD,424,https://staticqbr-sk-prod.prod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/BabesTV_HD.png?style=content-station-logo-medium
horizon-10033,lgi-obolite-sk-prod-master:10033,Barrandov Krimi HD,64,https://staticqbr-sk-prod.prod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/7236.f.Barrandov_Plus_HD.png?style=content-station-logo-medium
horizon-10032,lgi-obolite-sk-prod-master:10032,Barrandov TV HD,62,https://staticqbr-sk-prod.prod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/5039.f.Barrandov_TV_HD.png?style=content-station-logo-medium
horizon-10178,lgi-obolite-sk-prod-master:10178,Bober,536,https://staticqbr-sk-prod.prod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/9101.f.Bobyor.png?style=content-station-logo-medium
horizon-10188,lgi-obolite-sk-prod-master:10188,Brazzers TV HD,425,https://staticqbr-sk-prod.prod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/Brazzers_TV_HD.png?style=content-station-logo-medium
horizon-10180,lgi-obolite-sk-prod-master:10180,Carousel,538,https://staticqbr-sk-prod.prod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/9103.f.Carousel.png?style=content-station-logo-medium
horizon-10091,lgi-obolite-sk-prod-master:10091,Cartoon Network HD,258,https://staticqbr-sk-prod.prod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/8634.f.Cartoon_Network_HD.png?style=content-station-logo-medium
