xmltv_id,site_id,name,channelNumber,logoUrl
mujtvprogram-394,394,AMC,216,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=181ab2ae0a67e37a124ffc6e7c285693&p2=80
mujtvprogram-11,11,Animal Planet,125,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=80827a7225497dfb53f37650fd8b4840&p2=80
mujtvprogram-344,344,Arena Sport 1,108,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=417142095fa934ab9c9f02e2bf7d5a9a&p2=80
mujtvprogram-379,379,Arena Sport 2,109,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=e40bd2279b88dab77b024d002dea6187&p2=80
mujtvprogram-453,453,Auto Motor Sport  HD,114,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=f2464856c0987f1260ba96bd10155b84&p2=80
mujtvprogram-369,369,AXN Black,192,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=dcce8445e7c707239857e2fb3213ea52&p2=80
mujtvprogram-370,370,AXN White,193,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=e4f5ce21e5c4ac42ff8a3c1d99ead13b&p2=80
mujtvprogram-9,9,AXN,194,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=206f0baaf3ae62b0fedd0c4150916af9&p2=80
mujtvprogram-296,296,A11,63,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=a525a102fb950e7f64e3b72572728135&p2=80
mujtvprogram-108,108,Baby TV,329,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=7419cc50113d014caae9363fcc3cc067&p2=80
mujtvprogram-455,455,Barrandov Krimi,30,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=2997ac41a7346f4a000a80ed21c9ebe1&p2=80
mujtvprogram-97,97,BBC World News,597,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=bbb84b4d1ca953f3c377978a766bc0f4&p2=80
mujtvprogram-284,284,Bloomberg,602,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=4907f451ddc509622b32067835e9cdd6&p2=80
mujtvprogram-146,146,Blue Hustler,401,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=1388992aba6750aeeb12fa042586de82&p2=80
mujtvprogram-377,377,Brazzers TV Europe,395,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=afa748221b5ca190f07ccd80165aa3c6&p2=80
mujtvprogram-1049,1049,Canal+ Action,183,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=78100f2725f85fc35a1de7bc88b6ce14&p2=80
mujtvprogram-1040,1040,CANAL+ Sport,92,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=ab73879fdf9b10e1deb0224bfbb3cfd8&p2=80
mujtvprogram-73,73,Cartoonito,327,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=ffd005bf07fcb0e034d255c1ea53d407&p2=80
mujtvprogram-326,326,Cartoon Network,332,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=9859d11592ac520dd0f738a8a3c0f662&p2=80
mujtvprogram-323,323,CBS Reality,588,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=43b7d9719218e79c4331ce1e488260a5&p2=80
mujtvprogram-7,7,Cinemax,198,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=3cec25ae0771314599f5318ff16610bb&p2=80
mujtvprogram-112,112,Cinemax 2,199,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=17117b7e39721b3d81d91d635795eba5&p2=80
mujtvprogram-131,131,Club MTV,360,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=27e7dbe166967d96e2a6435897f75f29&p2=80
mujtvprogram-818,818,CNN Prima News,17,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=a1c9d2c600a34f92762af5e08003c2c1&p2=80
mujtvprogram-368,368,Crime & Investigation,155,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=09b0e4393039647e27a1f7749ef9edc8&p2=80
mujtvprogram-15,15,CS Film,186,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=0378bc778d9119b7b71e54b4f26b00f8&p2=80
mujtvprogram-755,755,CS History,129,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=56c3885c06f7afa10cdbdde74bd2cacc&p2=80
mujtvprogram-756,756,CS Horror,217,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=6253fdaa2cac2512b4d1c999257f8479&p2=80
mujtvprogram-757,757,CS Mystery,152,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=2ac5f861a1f776dd20bff205cd073393&p2=80
mujtvprogram-358,358,ČT art,16,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=2321936145b564cadab76b11be414b15&p2=80
mujtvprogram-357,357,ČT :D,316,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=49deb09a8187efe4affc74274017f77b&p2=80
mujtvprogram-18,18,ČT sport,93,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=731498bd1afcd17e53643dd75a9a10ea&p2=80
mujtvprogram-1,1,ČT1,1,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=221c83bb0fc366a6af5a167d5558781e&p2=80
mujtvprogram-2,2,ČT2,2,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=930021742680a86aabfe6100a6899d2b&p2=80
