xmltv_id,site_id,name,channelNumber,logoUrl
programandroid-TV Lux HD,TV Lux HD,,,
programandroid-TV Noe,TV Noe,,,
programandroid-TV Paprika,TV Paprika,,,
programandroid-TV8 HD,TV8 HD,,,
programandroid-UP NETWORK,UP NETWORK,,,
programandroid-Viasat Explore,Viasat Explore,,,
programandroid-Viasat History HD,Viasat History HD,,,
programandroid-Viasat Nature HD,Viasat Nature HD,,,
programandroid-Vivid TV Europe,Vivid TV Europe,,,
programandroid-VIXEN HD,VIXEN HD,,,
programandroid-AMC,AMC,,AMC,AMC
programandroid-Arena Sport 1 HD,Arena Sport 1 HD,,Arena Sport 1 HD,Arena Sport 1 HD
programandroid-Auto Motor Sport HD,Auto Motor Sport HD,,AXN,Auto Motor Sport HD
programandroid-AXN,AXN,,AXN Black,AXN
programandroid-AXN Black,AXN Black,,AXN White,AXN Black
programandroid-AXN White,AXN White,,Barrandov Krimi,AXN White
programandroid-Barrandov Krimi,Barrandov Krimi,,BBC World News HD,BBC World News HD
programandroid-BBC World News HD,BBC World News HD,,Bloomberg Europe,Bloomberg Europe
programandroid-Bloomberg Europe,Bloomberg Europe,,CANAL+ Domo,Boomerang
programandroid-Boomerang,Boomerang,,Cartoon Network,CANAL+ Domo
programandroid-CANAL+ Domo,CANAL+ Domo,,CNN Prima NEWS HD,CANAL+ Sport
programandroid-CANAL+ Sport,CANAL+ Sport,,CS Film,Cartoon Network
programandroid-Cartoon Network,Cartoon Network,,CS History,CBS Reality
programandroid-CBS Reality,CBS Reality,,CS Horror,Cinemax
programandroid-Cinemax,Cinemax,,CS Mystery,Cinemax2
programandroid-Cinemax2,Cinemax2,,ČT art HD,CNN Prima NEWS HD
programandroid-CNN Prima NEWS HD,CNN Prima NEWS HD,,ČT :D HD,CS Film
programandroid-CS Film,CS Film,,ČT Sport HD,CS History
programandroid-CS History,CS History,,ČT1 HD,CS Horror
programandroid-CS Horror,CS Horror,,ČT2 HD,CS Mystery
programandroid-CS Mystery,CS Mystery,,ČT24 HD,ČT1 HD
programandroid-ČT art HD,ČT art HD,,Disney Channel,ČT2 HD
programandroid-ČT :D HD,ČT :D HD,,ducktv,ČT24 HD
programandroid-ČT Sport HD,ČT Sport HD,,Dvojka HD,DAJTO HD
programandroid-ČT1 HD,ČT1 HD,,Earthx TV,Disney Channel
programandroid-ČT2 HD,ČT2 HD,,Epic Drama HD,DocuBox
programandroid-ČT24 HD,ČT24 HD,,EuroNews,Doma HD
programandroid-Disney Channel,Disney Channel,,FightBox,Dorcel TV
programandroid-Dorcel TV,Dorcel TV,,FilmBox,ducktv
programandroid-Dorcel XXX,Dorcel XXX,,FilmBox Extra HD,Dvojka HD
programandroid-ducktv,ducktv,,FilmBox Stars,Earthx TV
programandroid-DocuBox,DocuBox,,Film+,Dorcel XXX
programandroid-Dvojka HD,Dvojka HD,,Film Europe HD,Epic Drama HD
programandroid-Earthx TV,Earthx TV,,Film Europe+ HD,EuroNews
programandroid-Epic Drama HD,Epic Drama HD,,Fishing and Hunting,Extreme Sports Channel
programandroid-EuroNews,EuroNews,,France 24,FightBox
programandroid-Extreme Sports Channel,Extreme Sports Channel,,Golf Channel,Film+
programandroid-FightBox,FightBox,,History HD,FilmBox
programandroid-Film+,Film+,,Hobby TV,FilmBox Extra HD
programandroid-FilmBox,FilmBox,,INPLUS,FilmBox Family
programandroid-FilmBox Extra HD,FilmBox Extra HD,,Jednotka HD,FilmBox Premium HD
programandroid-FilmBox Family,FilmBox Family,,JimJam,FilmBox Stars
programandroid-FilmBox Premium HD,FilmBox Premium HD,,JOJ Cinema HD,Film Europe HD
programandroid-FilmBox Stars,FilmBox Stars,,JOJ Family HD,Film Europe+ HD
programandroid-Film Europe HD,Film Europe HD,,Kino Barrandov,Fishing and Hunting
programandroid-Film Europe+ HD,Film Europe+ HD,,LALA TV,France 24
programandroid-Fishing and Hunting,Fishing and Hunting,,LEO TV,Golf Channel
programandroid-France 24,France 24,,Love Nature HD,HBO
programandroid-Golf Channel,Golf Channel,,Markíza International,HBO2
programandroid-HBO,HBO,,Minimax,HBO3
programandroid-HBO2,HBO2,,Mňam TV,History HD
programandroid-HBO3,HBO3,,MTV DE,Hobby TV
programandroid-History HD,History HD,,MTV Europe CZ,Hustler
programandroid-Hobby TV,Hobby TV,,MTV 00s,INPLUS
programandroid-Hustler,Hustler,,MTV 80s,Jednotka HD
programandroid-KOMPLET-cz,KOMPLET-cz,,MULTI-cz,KOMPLET-sk
programandroid-INPLUS,INPLUS,,Náš region TV,JimJam
programandroid-Jednotka HD,Jednotka HD,,National Geographic HD,JOJ Cinema HD
programandroid-JimJam,JimJam,,National Geographic Wild,JOJ HD
programandroid-JOJ Cinema HD,JOJ Cinema HD,,Newsmax HD,Jojko
programandroid-Kino Barrandov,Kino Barrandov,,Nickelodeon DE,JOJ 24 HD
programandroid-JOJ Family HD,JOJ Family HD,,Nickelodeon,JOJ Šport HD
programandroid-LALA TV,LALA TV,,Nick Jr Czech,LALA TV
programandroid-LEO TV,LEO TV,,Nicktoons,LEO TV
programandroid-Love Nature HD,Love Nature HD,,Nova Action HD,Love Nature HD
programandroid-Man-X,Man-X,,Nova Cinema HD,Man-X
programandroid-Markíza International,Markíza International,,Nova Fun HD,Markíza HD
programandroid-Mezzo HD,Mezzo HD,,Nova Gold,Markíza Krimi HD
programandroid-Minimax,Minimax,,Nova HD,Mezzo HD
programandroid-Mňam TV,Mňam TV,,Nova Sport 1 HD,Minimax
programandroid-MTV DE,MTV DE,,Nova Sport 2 HD,Mňam TV
programandroid-MTV 00s,MTV 00s,,ÓČKO BLACK HD,MTV Europe CZ
programandroid-MTV 80s,MTV 80s,,ÓČKO EXPRES HD,MTV 00s
programandroid-MTV Europe CZ,MTV Europe CZ,,ÓČKO,MTV DE
programandroid-Náš region TV,Náš region TV,,ÓČKO STAR,MTV 80s
programandroid-National Geographic HD,National Geographic HD,,Paramount Network,Náš region TV
programandroid-National Geographic Wild,National Geographic Wild,,Penthouse Gold,National Geographic HD
programandroid-Nautical HD,Nautical HD,,Playboy TV Europe,National Geographic Wild HD
programandroid-Newsmax HD,Newsmax HD,,Prima COOL HD,Nautical HD
programandroid-Nickelodeon,Nickelodeon,,Prima HD,Newsmax HD
programandroid-Nickelodeon DE,Nickelodeon DE,,Prima KRIMI HD,Nickelodeon
programandroid-Nick Jr Czech,Nick Jr Czech,,Prima LOVE HD,Nickelodeon DE
programandroid-Nicktoons,Nicktoons,,Prima MAX HD,Nick Jr Czech
programandroid-Nova Action HD,Nova Action HD,,Prima Show,Nicktoons
programandroid-Nova Cinema HD,Nova Cinema HD,,Prima STAR,Nova International
programandroid-Nova Fun HD,Nova Fun HD,,Prima ZOOM HD,Nova Sport 1 HD
programandroid-Nova Gold,Nova Gold,,Rebel,Nova Sport 2 HD
programandroid-Nova HD,Nova HD,,RELAX,ÓČKO
programandroid-Nova Sport 1 HD,Nova Sport 1 HD,,Retro,ÓČKO BLACK HD
programandroid-Nova Sport 2 HD,Nova Sport 2 HD,,RTVS 24 HD,ÓČKO EXPRES HD
programandroid-ÓČKO,ÓČKO,,Senzi,ÓČKO STAR
programandroid-ÓČKO BLACK HD,ÓČKO BLACK HD,,Skylink 7,Penthouse Gold
