xmltv_id,site_id,name,channelNumber,logoUrl
skylink.cz-43,YpSaIH1K8GET7PTimPhBl8Tcm8lZvouVQLrKktWa,AXN CZ,43,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/AXN%20CZ_m.png
skylink.cz-40,UrfzDNEV7W1rPbWsX6f_sj3UVE6C2YFYCQZdxSIT,Epic Drama HD,40,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Epic%20Drama%20HD_m.png
skylink.cz-42,qq8lYU2BSHr18k9AjoASJtgAkiuKJ9VQHWDk-OF1,Film Europe+ HD,42,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Film%20Europe%20HD_m.png
skylink.cz-47,6Ae98DAJfkzVnIKj3m6QftYi-EQe5HS763kuh7jA,Film Europe HD,47,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Film%20Europe%20HD_m.png
skylink.cz-14,-9sKa_OO31Zbi4mDGaMlTwh3_FOxHSXAuLYgYXVy,Nova Action HD,14,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Nova%20Action%20HD_m.png
skylink.cz-13,pFWu-Y8Bu5LwZxmE_HK8w2D8g9WKQGBDQlnNLl4L,Nova Cinema HD,13,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Nova%20Cinema%20HD_m.png
skylink.cz-15,N4mhwkoIMv4gkyi7ognMovK6LfJ26y6fC2Z1w0YM,Nova Fun HD,15,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Nova%20Fun%20HD_m.png
skylink.cz-16,QFQ4C0NZEBUwthna4GAAzS6YqlbNUAUpf7LknU_a,Nova Gold,16,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Nova%20Gold_m.png
skylink.cz-3,GIWXWJ8Db1hIe69rCijH8KFxK87NB2hG0vZXFopm,Nova HD,3,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Nova%20HD_m.png
skylink.cz-17,nY_L6rGGhnQ8GDv5cPH-YBwBghernXg2axBDazYB,Nova Lady,17,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Nova%20Lady_m.png
skylink.cz-102,qKDOcv1zIxxFYBR3hWAmk7El9grjDOKm3dQ3LDOR,Nova Sport 3 HD,102,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Nova%20Sport%203%20HD_m.png
skylink.cz-103,mna-7gNLyLxWyIqhGoxNxgDIorBOqpzyy7Xm-Pk-,Nova Sport 4 HD,103,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Nova%20Sport%204%20HD_m.png
skylink.cz-37,owf7uLkzCRWRyDphSdO7eXjeWhgSijsa8mWXR7eN,Paramount Network,37,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Paramount%20Network_m.png
skylink.cz-4,flMXbPjFjxi4vmmW0M74kAvI0bQCkjN_IhDl6lUT,Prima HD,4,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Prima%20HD_m.png
skylink.cz-25,yVcJNustL6Fdod0QPuS491JrtIgCSTcmfvvgJfL-,Prima Show,25,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Prima%20Show_m.png
skylink.cz-26,ilPRmYMxYS6KV1ayQM6TPIJqZOegeG5jsG1zGwjT,Prima STAR,26,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Prima%20STAR_m.png
