xmltv_id,site_id,name,channelNumber,logoUrl
horizon-10024,lgi-obolite-sk-prod-master:10024,AMC HD,27,https://staticqbr-sk-prod.prod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/8200.f.AMC_HD.png?style=content-station-logo-medium
horizon-10077,lgi-obolite-sk-prod-master:10077,Auto Motor Sport,207,https://staticqbr-sk-prod.prod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/483_20030_c_a8656683994a04e1456c9f3df4209ac7.Auto_Motor_Sport_SK.png?style=content-station-logo-medium
horizon-10033,lgi-obolite-sk-prod-master:10033,Barrandov Krimi HD,64,https://staticqbr-sk-prod.prod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/7236.f.Barrandov_Plus_HD.png?style=content-station-logo-medium
horizon-10032,lgi-obolite-sk-prod-master:10032,Barrandov TV HD,62,https://staticqbr-sk-prod.prod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/5039.f.Barrandov_TV_HD.png?style=content-station-logo-medium
horizon-10091,lgi-obolite-sk-prod-master:10091,Cartoon Network HD,258,https://staticqbr-sk-prod.prod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/8634.f.Cartoon_Network_HD.png?style=content-station-logo-medium
horizon-10123,lgi-obolite-sk-prod-master:10123,Cinemax HD,404,https://staticqbr-sk-prod.prod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/5048.f.Cinemax_HD.png?style=content-station-logo-medium
horizon-10124,lgi-obolite-sk-prod-master:10124,Cinemax 2 HD,405,https://staticqbr-sk-prod.prod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/5047.f.Cinemax_2_HD.png?style=content-station-logo-medium
horizon-10026,lgi-obolite-sk-prod-master:10026,CNN Prima News HD,55,https://staticqbr-sk-prod.prod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/9096.f.CNN_Prima_News_HD.png?style=content-station-logo-medium
horizon-10046,lgi-obolite-sk-prod-master:10046,CS Film CS Horror HD,107,https://staticqbr-sk-prod.prod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/5051.f.CS_film_CS_mini.png?style=content-station-logo-medium
horizon-10046,lgi-obolite-sk-prod-master:10046,CS Film CS Horror HD,107,https://staticqbr-sk-prod.prod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/5051.f.CS_film_CS_mini.png?style=content-station-logo-medium
horizon-10047,lgi-obolite-sk-prod-master:10047,CS History,108,https://staticqbr-sk-prod.prod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/8603.f.WAR.png?style=content-station-logo-medium
