xmltv_id,site_id,name,channelNumber,logoUrl
o2-48,AXN_Black,AXN Black,48,https://assets.o2tv.cz/assets/images/tv-logos/original/axn-black-20230123.png
o2-47,AXN,AXN,47,https://assets.o2tv.cz/assets/images/tv-logos/original/axn-20230123.png
o2-18,BBC World News,BBC World News,18,https://assets.o2tv.cz/assets/images/tv-logos/original/bbc-world-news.png
o2-145,Bloomberg,Bloomberg,145,https://assets.o2tv.cz/assets/images/tv-logos/original/bloomberg.png
o2-39,Epic Drama HD,Epic Drama HD,39,https://assets.o2tv.cz/assets/images/tv-logos/original/epic-hd.png
o2-40,Film Europe HD,Film Europe HD,40,https://assets.o2tv.cz/assets/images/tv-logos/original/film-europe-hd.png
o2-41,FilmEurope+,Film Europe +,41,https://assets.o2tv.cz/assets/images/tv-logos/original/film-europe-plus.png
o2-9,Nova Action HD,Nova ACTION HD,9,https://assets.o2tv.cz/assets/images/tv-logos/original/nova-action.png
o2-6,Nova Cinema HD,Nova Cinema HD,6,https://assets.o2tv.cz/assets/images/tv-logos/original/nova-cinema-hd.png
o2-7,Nova 2 HD,Nova Fun HD,7,https://assets.o2tv.cz/assets/images/tv-logos/original/nova-2.png
o2-8,Nova Gold HD,Nova GOLD HD,8,https://assets.o2tv.cz/assets/images/tv-logos/original/nova-gold-hd.png
o2-3,Nova HD,Nova HD,3,https://assets.o2tv.cz/assets/images/tv-logos/original/nova_202201.png
o2-10,NovaLady,Nova Lady,10,https://assets.o2tv.cz/assets/images/tv-logos/original/nova-lady.png
o2-79,NovaSport3HD,Nova Sport 3 HD,79,https://assets.o2tv.cz/assets/images/tv-logos/original/nova-sport-3.png
o2-80,NovaSport4HD,Nova Sport 4 HD,80,https://assets.o2tv.cz/assets/images/tv-logos/original/nova-sport-4.png
o2-70,O2 Sport HD,O2TV Sport HD,70,https://assets.o2tv.cz/assets/images/tv-logos/original/o2-sport-hd.png
o2-15,Paramount Network,Paramount Network,15,https://assets.o2tv.cz/assets/images/tv-logos/original/paramount_network.png
o2-4,Prima HD,Prima HD,4,https://assets.o2tv.cz/assets/images/tv-logos/original/prima-hd.png
o2-45,PrimaShow,Prima Show,45,https://assets.o2tv.cz/assets/images/tv-logos/original/prima-show.png
o2-44,PrimaStar,Prima Star,44,https://assets.o2tv.cz/assets/images/tv-logos/original/prima-star.png
