xmltv_id,site_id,name,channelNumber,logoUrl
programandroid-55,55,AXN,116|88|,https://www.sms.cz/kategorie/televize/bmp/loga/velka/axn.png
programandroid-1209,1209,Epic Drama,36||,https://www.sms.cz/kategorie/televize/bmp/loga/velka/epicdrama.png
programandroid-1341,1341,Film Europe +,||,https://www.sms.cz/kategorie/televize/bmp/loga/velka/filmeuropeplus.png
programandroid-570,570,Film Europe,37|85|,https://www.sms.cz/kategorie/televize/bmp/loga/velka/filmeurope.png
programandroid-677,677,Nova Action,42|12|,https://www.sms.cz/kategorie/televize/bmp/loga/velka/nova_action.png
programandroid-132,132,Nova Cinema,33|11|,https://www.sms.cz/kategorie/televize/bmp/loga/velka/nova_cinema.png
programandroid-707,707,Nova Fun,34|14|,https://www.sms.cz/kategorie/televize/bmp/loga/velka/nova_2.png
programandroid-712,712,Nova Gold,35|13|,https://www.sms.cz/kategorie/televize/bmp/loga/velka/nova_gold.png
programandroid-15290,15290,Nova Lady,||,https://www.sms.cz/kategorie/televize/bmp/loga/velka/novalady.png
programandroid-1520,1520,Nova Sport 3,||,https://www.sms.cz/kategorie/televize/bmp/loga/velka/nova_sport_3.png
programandroid-1521,1521,Nova Sport 4,||,https://www.sms.cz/kategorie/televize/bmp/loga/velka/nova_sport_4.png
programandroid-1,1,Nova,3|3|,https://www.sms.cz/kategorie/televize/bmp/loga/velka/nova.png
programandroid-1040,1040,O2 Sport,5||,https://www.sms.cz/kategorie/televize/bmp/loga/velka/o2_sport.png
programandroid-1123,1123,Paramount Network,14|19|,https://www.sms.cz/kategorie/televize/bmp/loga/velka/paramountnetwork.png
programandroid-15292,15292,Prima Show,||,https://www.sms.cz/kategorie/televize/bmp/loga/velka/prima_show.png
programandroid-1513,1513,Prima Star,||,https://www.sms.cz/kategorie/televize/bmp/loga/velka/prima_star.png
programandroid-4,4,Prima,4|5|,https://www.sms.cz/kategorie/televize/bmp/loga/velka/prima.png
programandroid-15551,15551,Warner TV,||,https://www.sms.cz/kategorie/televize/bmp/loga/velka/warnertv.png
