xmltv_id,site_id,name,channelNumber,logoUrl
skylink.sk-1,Jt5eIyf94-ba79agj8o1ZReVlDfA9wQlKeWJ17LP,Jednotka HD,1,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Jednotka%20HD_m.png
skylink.sk-2,Xc8FjJcAof-SI-ZOO__yL4EnfEohvKHIT_jnK4tN,Dvojka HD,2,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Dvojka%20HD_m.png
skylink.sk-3,RlmzfpINpZJElKPDNPwd4zJfxOVtygxxkOI1QWqf,Markiza HD,3,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Markiza%20HD_m.png
skylink.sk-4,PId5fZYWVKLaTo6z0lufTlLHsWB-SGOP4o0AQ3zm,TV JOJ HD,4,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/TV%20JOJ%20HD_m.png
skylink.sk-5,zgKtG_SQImnuwuBXcL5yZwiEGaGCnLAJhGSX13Ed,CANAL+ Action,5,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/CANAL%20Action_m.png
skylink.sk-6,J9IfXGXCJM0wflzJR-53cvmaDBsRj6vI8zwXFrrq,CANAL+ Sport,6,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/CANAL%20Sport_m.png
skylink.sk-7,D9tfFleO9sZ9Qrm6vgzzIkr4_TzI0EfD41JCWKKm,CANAL+ Sport 2,7,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/CANAL%20Sport%202_m.png
skylink.sk-8,h2Q0W8Gu1NTC_SMkS4yI9I1hLFteiTTXrKdxQOSf,Filmbox,8,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Filmbox_m.png
skylink.sk-9,R1oUrl4RCBWIk9K91s6Ye5H4Gb8EW713oOXt6K0v,Filmbox Stars,9,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Filmbox%20Stars_m.png
skylink.sk-11,q1-IzRD8VDr4AP62rhZYA3SpxS9B6NfLzzFrqFFq,RTVS 24 HD,11,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/RTVS%2024%20HD_m.png
skylink.sk-12,PZon-VohtcUTLBJ9KxK0SA1QWII7e7H51YobM3o5,RTVS SPORT HD,12,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/RTVS%20SPORT%20HD_m.png
skylink.sk-13,yvK7gk6l-6VRsklwh9EbEGuYBmL5RTPalMTG9Czp,DOMA HD,13,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/DOMA%20HD_m.png
skylink.sk-14,N__QctxPPvKAviGL_wzxAb7gPclNemCvyxfq3ENE,DAJTO HD,14,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/DAJTO%20HD_m.png
skylink.sk-15,HJpQn5zLf1UdrozI7lVpV8C_tbQyVr45Al3JJm06,Markiza Krimi HD,15,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Markiza%20Krimi%20HD_m.png
skylink.sk-17,xseSBVI5YpeuUwvntNUr1Wk4vSFjVEssL9OZaH4A,JOJ PLUS HD,17,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/JOJ%20PLUS%20HD_m.png
skylink.sk-18,poazjxuHoZrma6oO3L-ufuvzRnQtMSMzTIWc8L6e,WAU HD,18,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/WAU%20HD_m.png
skylink.sk-19,yqiFOx2nt1vT3kFJk4B0xT1FsAKPVYRchWUvrScw,JOJ 24 HD,19,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/JOJ%2024%20HD_m.png
skylink.sk-20,ONarp12v21qrWn9kD17HkKtqvfY3jq1HGP5IqN9n,TA3 HD,20,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/TA3%20HD_m.png
skylink.sk-21,ehmxqmN2hlTobbfGEcfY1Kf5xUjjV7lTiRrsRfym,TV Lux HD,21,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/TV%20Lux%20HD_m.png
skylink.sk-23,5RunTIceJ6pFS5dhh1oeu5zYCd-rNPRsOVhGwEm6,Filmbox Extra HD,23,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Filmbox%20Extra%20HD_m.png
skylink.sk-24,5dDbDpCYwJfj7UrkcWNRPDV7cnT01uAMiJZa9EXy,Filmbox Premium HD,24,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Filmbox%20Premium%20HD_m.png
skylink.sk-25,M75sGY9lji57Fgyxsztjc0ke7XIa2oPiQlSKDu0k,Filmbox Family,25,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Filmbox%20Family_m.png
skylink.sk-26,dss0NUVayjffnCI273IPys9ZE-MQOdAeJfUFyvN_,JOJ Cinema HD,26,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/JOJ%20Cinema%20HD_m.png
