xmltv_id,site_id,name,channelNumber,logoUrl
upctv-10024,10024,AMC HD,27,https://staticqbr-prod-sk.gnp.cloud.upctv.sk/image-service/ImagesEPG/EventImages/8200.f.AMC_HD.png
upctv-10049,10049,Animal Planet HD,150,https://staticqbr-prod-sk.gnp.cloud.upctv.sk/image-service/ImagesEPG/EventImages/5000.f.Animal_Planet_HD.png
upctv-12117,12117,ATV Ziar nad Hronom,572,https://staticqbr-prod-sk.gnp.cloud.upctv.sk/image-service/ImagesEPG/EventImages/ATV_Ziar_nad_Hronom.f.png
upctv-10077,10077,Auto Motor Sport,207,https://staticqbr-prod-sk.gnp.cloud.upctv.sk/image-service/ImagesEPG/EventImages/483_20030_c_a8656683994a04e1456c9f3df4209ac7.Auto_Motor_Sport_SK.png
upctv-10187,10187,BabesTV HD,424,https://staticqbr-prod-sk.gnp.cloud.upctv.sk/image-service/ImagesEPG/EventImages/BabesTV_HD.png
upctv-12114,12114,Banovska TV,569,https://staticqbr-prod-sk.gnp.cloud.upctv.sk/image-service/ImagesEPG/EventImages/Banovska_TV.f.png
upctv-12109,12109,Bardejovska TV (BTV),564,https://staticqbr-prod-sk.gnp.cloud.upctv.sk/image-service/ImagesEPG/EventImages/Bardejovska_TV_BTV.f.png
upctv-10033,10033,Barrandov Krimi HD,64,https://staticqbr-prod-sk.gnp.cloud.upctv.sk/image-service/ImagesEPG/EventImages/7236.f.Barrandov_Plus_HD.png
upctv-10032,10032,Barrandov TV HD,62,https://staticqbr-prod-sk.gnp.cloud.upctv.sk/image-service/ImagesEPG/EventImages/5039.f.Barrandov_TV_HD.png
upctv-11132,11132,Bartok Radio,731,https://staticqbr-prod-sk.gnp.cloud.upctv.sk/image-service/ImagesEPG/EventImages/bartok.f.png
upctv-10178,10178,Bober,536,https://staticqbr-prod-sk.gnp.cloud.upctv.sk/image-service/ImagesEPG/EventImages/9101.f.Bobyor.png
upctv-10188,10188,Brazzers TV HD,425,https://staticqbr-prod-sk.gnp.cloud.upctv.sk/image-service/ImagesEPG/EventImages/Brazzers_TV_HD.png
