KOMPLET-cz,,KOMPLET-sk,,MULTI-cz,,MULTI-sk,,KOMPLET-cz,,KOMPLET-sk,,MULTI-cz,,MULTI-sk,,2,ČT1,ct1.png,České,1|1|,2,ČT1,ct1.png,České,1|1|,1,ČT1,1,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=221c83bb0fc366a6af5a167d5558781e&p2=80,cz
AMC,,AMC,,AMC,,AMC,,AMC,,AMC,,AMC,,AMC,,3,ČT2,ct2.png,České,2|2|,3,ČT2,ct2.png,České,2|2|,2,ČT2,2,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=930021742680a86aabfe6100a6899d2b&p2=80,cz
Arena Sport 1 HD,,Arena Sport 1 HD,,Arena Sport 1 HD,,Arena Sport 1 HD,,Arena Sport 1 HD,,Arena Sport 1 HD,,Arena Sport 1 HD,,Arena Sport 1 HD,,1,Nova,nova.png,České,3|3|,1,Nova,nova.png,České,3|3|,723,Skylink 7,4,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=ac6c69625699eaecc9b39f7ea4d69b8c&p2=80,cz
Auto Motor Sport HD,,Auto Motor Sport HD,,AXN,,AXN,,Auto Motor Sport HD,,Auto Motor Sport HD,,AXN,,AXN,,4,Prima,prima.png,České,4|5|,4,Prima,prima.png,České,4|5|,3,Nova,6,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=60712218b2910fb81fc217d672f602af&p2=80,cz
AXN,,AXN,,AXN Black,,AXN Black,,AXN,,AXN,,AXN Black,,AXN Black,,220,Prima Cool,prima_cool.png,České,6|16|,220,Prima Cool,prima_cool.png,České,6|16|,4,Prima,12,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=aa330a12f11883b0f0fe6a45702e8e04&p2=80,cz
AXN Black,,AXN Black,,AXN White,,AXN White,,AXN Black,,AXN Black,,AXN White,,AXN White,,215,Barrandov,barrandov.png,České,19|20|,215,Barrandov,barrandov.png,České,19|20|,89,TV Barrandov,13,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=b248cb57e2fb343e1effe7bc682aa6bd&p2=80,cz
AXN White,,AXN White,,Barrandov Krimi,,BBC World News HD,,AXN White,,AXN White,,Barrandov Krimi,,BBC World News HD,,132,Nova Cinema,nova_cinema.png,České,33|11|,132,Nova Cinema,nova_cinema.png,České,33|11|,24,ČT24,15,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=8c4acbba033b894bf86f38727e4842c3&p2=80,cz
Barrandov Krimi,,BBC World News HD,,BBC World News HD,,Bloomberg Europe,,Barrandov Krimi,,BBC World News HD,,BBC World News HD,,Bloomberg Europe,,82,AMC,amc.png,České,25|86|,82,AMC,amc.png,České,25|86|,358,ČT art,16,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=2321936145b564cadab76b11be414b15&p2=80,cz
BBC World News HD,,Bloomberg Europe,,Bloomberg Europe,,CANAL+ Domo,,BBC World News HD,,Bloomberg Europe,,Bloomberg Europe,,CANAL+ Domo,,28,AnimalPlanet,animal_planet.png,České,60|122|,28,AnimalPlanet,animal_planet.png,České,60|122|,818,CNN Prima News,17,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=a1c9d2c600a34f92762af5e08003c2c1&p2=80,cz
Bloomberg Europe,,Boomerang,,CANAL+ Domo,,Cartoon Network,,Bloomberg Europe,,Boomerang,,CANAL+ Domo,,Cartoon Network,,704,Auto Motor Sport,automoto.png,České,|107|,704,Auto Motor Sport,automoto.png,České,|107|,558,Nova Action,18,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=25ebf360f8f0468e1718867e521bfdfe&p2=80,cz
Boomerang,,CANAL+ Domo,,Cartoon Network,,CNN Prima NEWS HD,,Boomerang,,CANAL+ Domo,,Cartoon Network,,CNN Prima NEWS HD,,55,AXN,axn.png,České,116|88|,55,AXN,axn.png,České,116|88|,560,Nova Fun,19,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=c1a9cba821271db0677a95b4e971e9dc&p2=80,cz
CANAL+ Domo,,CANAL+ Sport,,CNN Prima NEWS HD,,CS Film,,CANAL+ Domo,,CANAL+ Sport,,CNN Prima NEWS HD,,CS Film,,216,AXN Digi TV,axn.png,České,||,216,AXN Digi TV,axn.png,České,||,921,Nova Lady,20,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=11d7d12fe3f18edb127c3350031215b1&p2=80,cz
CANAL+ Sport,,Cartoon Network,,CS Film,,CS History,,CANAL+ Sport,,Cartoon Network,,CS Film,,CS History,,125,AXN Black,axn_black.png,České,117||,125,AXN Black,axn_black.png,České,117||,559,Nova Gold,22,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=c2d8401ab82b123bd0a64e5f551e9a5f&p2=80,cz
Cartoon Network,,CBS Reality,,CS History,,CS Horror,,Cartoon Network,,CBS Reality,,CS History,,CS Horror,,883,AXN HD,axn_hd.png,České,||,883,AXN HD,axn_hd.png,České,||,474,Prima MAX,23,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=84812352443b158ef7588f9e79c48e41&p2=80,cz
CBS Reality,,Cinemax,,CS Horror,,CS Mystery,,CBS Reality,,Cinemax,,CS Horror,,CS Mystery,,126,AXN White,axn_white.png,České,118||,126,AXN White,axn_white.png,České,118||,92,Prima COOL,24,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=856df71312a0fbdd13d7a3d897939eae&p2=80,cz
Cinemax,,Cinemax2,,CS Mystery,,ČT1 HD,,Cinemax,,Cinemax2,,CS Mystery,,ČT1 HD,,1020,Barrandov Krimi,barrandov_krimi.png,České,47|23|,1020,Barrandov Krimi,barrandov_krimi.png,České,47|23|,897,Prima STAR,25,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=105dd0f9660f7921d17dff31eed161bf&p2=80,cz
Cinemax2,,CNN Prima NEWS HD,,ČT art HD,,ČT2 HD,,Cinemax2,,CNN Prima NEWS HD,,ČT art HD,,ČT2 HD,,66,Cinemax,cinemax.png,České,23|78|,66,Cinemax,cinemax.png,České,23|78|,923,Prima Show,26,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=842a86fcc3e208def1111a707f7859ad&p2=80,cz
CNN Prima NEWS HD,,CS Film,,ČT :D HD,,ČT24 HD,,CNN Prima NEWS HD,,CS Film,,ČT :D HD,,ČT24 HD,,80,Cinemax 2,cinemax2.png,České,24||,80,Cinemax 2,cinemax2.png,České,24||,226,Prima Love,27,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=afdd434566239dfa7b1c905f5a2c13d1&p2=80,cz
CS Film,,CS History,,ČT Sport HD,,DAJTO HD,,CS Film,,CS History,,ČT Sport HD,,DAJTO HD,,32,CBS Reality,cbsreality.png,České,120||,32,CBS Reality,cbsreality.png,České,120||,608,Prim KRIMI,28,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=f5f408ddd53640116492b80c837ae5b1&p2=80,cz
CS History,,CS Horror,,ČT1 HD,,Disney Channel,,CS History,,CS Horror,,ČT1 HD,,Disney Channel,,832,Crime and Investigation,ci.png,České,||,832,Crime and Investigation,ci.png,České,||,475,Paramount Network,29,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=cbc6e86958703869b7b086ddba1da30d&p2=80,cz
