KOMPLET-cz,,KOMPLET-sk,,MULTI-cz,,MULTI-sk,,2,ČT1,ct1.png,České,1|1|
AMC,,AMC,,AMC,,AMC,,3,ČT2,ct2.png,České,2|2|
Arena Sport 1 HD,,Arena Sport 1 HD,,Arena Sport 1 HD,,Arena Sport 1 HD,,1,Nova,nova.png,České,3|3|
Auto Motor Sport HD,,Auto Motor Sport HD,,AXN,,AXN,,4,Prima,prima.png,České,4|5|
AXN,,AXN,,AXN Black,,AXN Black,,220,Prima Cool,prima_cool.png,České,6|16|
AXN Black,,AXN Black,,AXN White,,AXN White,,215,Barrandov,barrandov.png,České,19|20|
AXN White,,AXN White,,Barrandov Krimi,,BBC World News HD,,132,Nova Cinema,nova_cinema.png,České,33|11|
Barrandov Krimi,,BBC World News HD,,BBC World News HD,,Bloomberg Europe,,82,AMC,amc.png,České,25|86|
BBC World News HD,,Bloomberg Europe,,Bloomberg Europe,,CANAL+ Domo,,28,AnimalPlanet,animal_planet.png,České,60|122|
Bloomberg Europe,,Boomerang,,CANAL+ Domo,,Cartoon Network,,704,Auto Motor Sport,automoto.png,České,|107|
Boomerang,,CANAL+ Domo,,Cartoon Network,,CNN Prima NEWS HD,,55,AXN,axn.png,České,116|88|
CANAL+ Domo,,CANAL+ Sport,,CNN Prima NEWS HD,,CS Film,,216,AXN Digi TV,axn.png,České,||
CANAL+ Sport,,Cartoon Network,,CS Film,,CS History,,125,AXN Black,axn_black.png,České,117||
Cartoon Network,,CBS Reality,,CS History,,CS Horror,,883,AXN HD,axn_hd.png,České,||
CBS Reality,,Cinemax,,CS Horror,,CS Mystery,,126,AXN White,axn_white.png,České,118||
Cinemax,,Cinemax2,,CS Mystery,,ČT1 HD,,1020,Barrandov Krimi,barrandov_krimi.png,České,47|23|
Cinemax2,,CNN Prima NEWS HD,,ČT art HD,,ČT2 HD,,66,Cinemax,cinemax.png,České,23|78|
CNN Prima NEWS HD,,CS Film,,ČT :D HD,,ČT24 HD,,80,Cinemax 2,cinemax2.png,České,24||
CS Film,,CS History,,ČT Sport HD,,DAJTO HD,,32,CBS Reality,cbsreality.png,České,120||
CS History,,CS Horror,,ČT1 HD,,Disney Channel,,832,Crime and Investigation,ci.png,České,||
CS Horror,,CS Mystery,,ČT2 HD,,Doma HD,,805,ČT :D,ctd.png,České,|10|
CS Mystery,,ČT1 HD,,ČT24 HD,,ducktv,,804,ČT art,ctart.png,České,|10|
ČT art HD,,ČT2 HD,,Disney Channel,,Dvojka HD,,65,ČT24,ct24.png,České,12|8|
ČT :D HD,,ČT24 HD,,ducktv,,Earthx TV,,73,ČT4 Sport,ct4.png,České,76|9|
ČT Sport HD,,DAJTO HD,,Dvojka HD,,Epic Drama HD,,15,Discovery,Discovery.png,České,56|121|
ČT1 HD,,Disney Channel,,Earthx TV,,EuroNews,,92,Discovery Science,discoveryscience.png,České,58||
ČT2 HD,,DocuBox,,Epic Drama HD,,FightBox,,1129,DTX,dtx.png,České,||
ČT24 HD,,Doma HD,,EuroNews,,Film+,,9,Eurosport 1,eurosport1.png,České,77|100|
Disney Channel,,Dorcel TV,,FightBox,,FilmBox,,59,Eurosport 2,eurosport2.png,České,78|101|
DocuBox,,Dorcel XXX,,Film+,,FilmBox Extra HD,,591,Erox HD,eroxhd.png,České,||
Dorcel TV,,ducktv,,FilmBox,,FilmBox Stars,,677,Nova Action,nova_action.png,České,42|12|
