xmltv_id,site_id,name,channelNumber,logoUrl
skylink.cz-1,eHDjK5fewmsrsQFSRIEYyhlubI4qlt6Y5c_wBRg6,CT 1 HD,1,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/CT%201%20HD_m.png
skylink.cz-2,LAg_L1beaUpH8_KXzgneBARLkJ87Q2hS7sbna7fa,CT 2 HD,2,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/CT%202%20HD_m.png
skylink.cz-3,GIWXWJ8Db1hIe69rCijH8KFxK87NB2hG0vZXFopm,Nova HD,3,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Nova%20HD_m.png
skylink.cz-4,flMXbPjFjxi4vmmW0M74kAvI0bQCkjN_IhDl6lUT,Prima HD,4,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Prima%20HD_m.png
skylink.cz-5,zgKtG_SQImnuwuBXcL5yZwiEGaGCnLAJhGSX13Ed,CANAL+ Action,5,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/CANAL%20Action_m.png
skylink.cz-8,h2Q0W8Gu1NTC_SMkS4yI9I1hLFteiTTXrKdxQOSf,Filmbox,8,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Filmbox_m.png
skylink.cz-9,R1oUrl4RCBWIk9K91s6Ye5H4Gb8EW713oOXt6K0v,Filmbox Stars,9,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Filmbox%20Stars_m.png
skylink.cz-11,GQvz_YL0733sdxyp53rLv8wgySlCkQ0lUvtuDglM,CT 24 HD,11,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/CT%2024%20HD_m.png
skylink.cz-12,2jClL7giyyULb0qf6t_RSAUNAO3mBbIdRFIPLxV7,CT sport HD,12,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/CT%20sport%20HD_m.png
skylink.cz-13,pFWu-Y8Bu5LwZxmE_HK8w2D8g9WKQGBDQlnNLl4L,Nova Cinema HD,13,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Nova%20Cinema%20HD_m.png
skylink.cz-14,-9sKa_OO31Zbi4mDGaMlTwh3_FOxHSXAuLYgYXVy,Nova Action HD,14,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Nova%20Action%20HD_m.png
skylink.cz-15,N4mhwkoIMv4gkyi7ognMovK6LfJ26y6fC2Z1w0YM,Nova Fun HD,15,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Nova%20Fun%20HD_m.png
skylink.cz-16,QFQ4C0NZEBUwthna4GAAzS6YqlbNUAUpf7LknU_a,Nova Gold,16,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Nova%20Gold_m.png
skylink.cz-17,nY_L6rGGhnQ8GDv5cPH-YBwBghernXg2axBDazYB,Nova Lady,17,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Nova%20Lady_m.png
skylink.cz-19,787y7kzYWJVLE_F3lK65bOqRVt0iV6xNMY5cWxup,Prima MAX HD,19,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Prima%20MAX%20HD_m.png
skylink.cz-20,DY4MbiVL97dDhqo_IxdgKNvLz7MnvTa_ki4xZSFA,Prima COOL HD,20,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Prima%20COOL%20HD_m.png
skylink.cz-21,VNioPJ3_NADMrt-v29THYgKYP-TGeXx1t520oBrj,Prima Zoom HD,21,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Prima%20Zoom%20HD_m.png
skylink.cz-22,nQ_fDZBmnG4s6GYZufJR7r83F0fshgQyxYTxVkY2,CNN Prima News HD,22,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/CNN%20Prima%20News%20HD_m.png
skylink.cz-23,i_TVkZ4sK5Ji9170U-NkNgcGtCw-3pCiHGuxLvL2,Prima KRIMI HD,23,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Prima%20KRIMI%20HD_m.png
skylink.cz-24,xcy3iAO3-or93RYPy4niaqqWmSwZzzsTxpUTJfGS,Prima Love HD,24,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Prima%20Love%20HD_m.png
skylink.cz-25,yVcJNustL6Fdod0QPuS491JrtIgCSTcmfvvgJfL-,Prima Show,25,https://m7cz.solocoo.tv/m7cziphone/mmchan/channelicons/Prima%20Show_m.png
