KOMPLET-cz,KOMPLET-sk,MULTI-cz,MULTI-sk
Barrandov Krimi,ČT1 HD,Barrandov Krimi,ČT1 HD
ČT1 HD,ČT2 HD,ČT1 HD,ČT2 HD
ČT2 HD,ČT3 HD,ČT2 HD,ČT3 HD
ČT3 HD,DAJTO HD,ČT3 HD,DAJTO HD
Dvojka HD,Doma HD,Dvojka HD,Doma HD
INPLUS,Dvojka HD,INPLUS,Dvojka HD
Jednotka HD,INPLUS,Jednotka HD,INPLUS
JOJ Family HD,Jednotka HD,JOJ Family HD,Jednotka HD
Markíza International,JOJ HD,Markíza International,JOJ HD
Náš region TV,Markíza HD,Náš region TV,Markíza HD
Nova Action HD,Markíza Krimi HD,Nova Action HD,Markíza Krimi HD
Nova Fun HD,Náš region TV,Nova Fun HD,Náš region TV
Nova Gold,Nova International,Nova Gold,Nova International
Nova HD,Prima PLUS HD,Nova HD,Prima PLUS HD
Paramount Network,RELAX,Paramount Network,RELAX
Prima COOL HD,Skylink 7,Prima COOL HD,Skylink 7
Prima HD,TV Lux HD,Prima HD,TV Lux HD
Prima KRIMI HD,TV Noe HD,Prima KRIMI HD,TV Noe HD
Prima LOVE HD,TV8 HD,Prima LOVE HD,TV8 HD
Prima Show,WAU HD,Prima Show,WAU HD
Prima STAR,Arena Sport 1 HD,Prima STAR,Arena Sport 1 HD
RELAX,Auto Motor Sport HD,RELAX,FightBox
Skylink 7,CANAL+ Sport,Skylink 7,Golf Channel
Televize Seznam,Extreme Sports Channel,Televize Seznam,JOJ Šport HD
TV Barrandov HD,FightBox,TV Barrandov HD,Nova Sport 1 HD
TV Lux HD,Golf Channel,TV Lux HD,Nova Sport 2 HD
TV Noe HD,JOJ Šport HD,TV Noe HD,RTVS ŠPORT HD
TV8 HD,Nova Sport 1 HD,TV8 HD,Sport 1 DE
Arena Sport 1 HD,Nova Sport 2 HD,Arena Sport 1 HD,Sport 1 HD
Auto Motor Sport HD,RTVS ŠPORT HD,ČT Sport HD,Sport 2 HD
CANAL+ Sport,Sport 1 DE,FightBox,SPORT5
ČT Sport HD,Sport 1 HD,Golf Channel,AMC
Extreme Sports Channel,Sport 2 HD,Nova Sport 1 HD,AXN
FightBox,SPORT5,Nova Sport 2 HD,AXN Black
Golf Channel,AMC,Sport 1 DE,AXN White
Nova Sport 1 HD,AXN,Sport 1 HD,CS Film
Nova Sport 2 HD,AXN Black,Sport 2 HD,CS Horror
Sport 1 DE,AXN White,SPORT5,Epic Drama HD
Sport 1 HD,Cinemax,AMC,Film Europe HD
Sport 2 HD,Cinemax2,AXN,Film Europe+ HD
SPORT5,CS Film,AXN Black,Film+
AMC,CS Horror,AXN White,FilmBox
AXN,Epic Drama HD,CS Film,FilmBox Extra HD
AXN Black,Film Europe HD,CS Horror,FilmBox Stars
AXN White,Film Europe+ HD,Epic Drama HD,JOJ Cinema HD
Cinemax,Film+,Film Europe HD,Plus HD
Cinemax2,FilmBox,Film Europe+ HD,CS History
CS Film,FilmBox Extra HD,Film+,CS Mystery
CS Horror,FilmBox Family,FilmBox,Earthx TV
Epic Drama HD,FilmBox Premium HD,FilmBox Extra HD,Fishing and Hunting
Film Europe HD,FilmBox Stars,FilmBox Stars,History HD
Film Europe+ HD,HBO,JOJ Cinema HD,Hobby TV
Film+,HBO2,Kino Barrandov,Love Nature HD
FilmBox,HBO3,Nova Cinema HD,National Geographic HD
FilmBox Extra HD,JOJ Cinema HD,Prima MAX HD,National Geographic Wild HD
FilmBox Family,Plus HD,CS History,Spektrum HD
FilmBox Premium HD,CS History,CS Mystery,Travelxp HD
FilmBox Stars,CS Mystery,ČT art HD,UP NETWORK
HBO,DocuBox,Earthx TV,Viasat Explore
HBO2,Earthx TV,Fishing and Hunting,Viasat History HD
HBO3,Fishing and Hunting,History HD,Viasat Nature HD
JOJ Cinema HD,History HD,Hobby TV,CANAL+ Domo
Kino Barrandov,Hobby TV,Love Nature HD,Mňam TV
Nova Cinema HD,Love Nature HD,National Geographic HD,MTV 00s
Prima MAX HD,National Geographic HD,National Geographic Wild,MTV 80s
CS History,National Geographic Wild HD,Prima ZOOM HD,MTV DE
CS Mystery,Nautical HD,Spektrum HD,MTV Europe CZ
ČT art HD,Spektrum HD,Travelxp HD,ÓČKO
DocuBox,Travelxp HD,UP NETWORK,ÓČKO BLACK HD
Earthx TV,UP NETWORK,Viasat Explore,ÓČKO EXPRES HD
Fishing and Hunting,Viasat Explore,Viasat History HD,ÓČKO STAR
History HD,Viasat History HD,Viasat Nature HD,Rebel
Hobby TV,Viasat Nature HD,CANAL+ Domo,Retro
Love Nature HD,CANAL+ Domo,Mňam TV,Senzi
