1;Jednotka HD;3-3213-15224
2;Dvojka HD;3-3213-15225
3;Markiza HD;3-3214-14129
4;DAJTO HD;3-3209-13207
5;TV JOJ HD;3-3209-13208
6;JOJ PLUS HD;3-3209-13209
7;JOJ Cinema HD;3-3219-13145
8;Prima MAX HD;3-3212-14053
9;CANAL+ Action;3-3214-14134
10;RTVS SPORT HD;3-3213-15227
11;JOJ Sport HD;3-3209-13214
12;RTVS 24 HD;3-3213-15226
13;TA3 HD;3-3234-4904
14;JOJ 24 HD;3-3209-13216
15;WAU HD;3-3219-13135
16;DOMA HD;3-3214-14130
17;Markiza Krimi HD;3-3209-13215
18;Prima COOL HD;3-3209-13206
19;Film+ HD;3-3221-15602
20;Film+ SK;3-3213-15222
21;Filmbox Extra HD;3-3216-15406
22;Epic Drama HD;3-3212-14080
23;Prima PLUS HD;3-3233-8009
24;Prima Krimi HD;3-3212-14060
25;Prima Love HD;3-3212-14063
26;AMC SK;3-3213-15221
27;Filmbox;3-3212-14057
28;Filmbox Stars;3-3221-15609
29;AXN CZ;3-3220-789
30;AXN White;3-3213-15211
31;AXN Black;3-3213-15210
32;Film Europe+ HD;3-3221-15607
33;Film Europe HD;3-3216-15405
34;CT 1 HD;3-3233-8001
35;CT 2 HD;3-3233-8002
36;CT 24 HD;3-3233-8003
37;CT :D/art HD;3-3233-8005
38;CT sport HD;3-3233-8004
39;Arena Sport 1 HD;3-3216-15401
40;Arena Sport 2 HD;3-3214-14116
41;Nova Sport 1 HD;3-3209-13203
42;Nova Sport 2 HD;3-3214-14110
43;CANAL+ Sport 2 (SK);3-3216-15416
45;Sport 1 HD;3-3219-13131
46;Sport 2 HD;3-3220-792
47;CNN Prima News HD;3-3212-14079
48;Nat Geo HD CZ;3-3220-771
49;National Geographic Wild HD CZ;3-3220-773
50;Love Nature HD CZ;3-3220-783
51;Prima ZOOM HD;3-3212-14056
52;Spektrum HD;3-3220-784
53;History HD;3-3216-15414
54;Viasat Explore;3-3216-15407
55;Viasat History HD;3-3221-15600
56;Viasat Nature HD;3-3221-15601
57;TV Barrandov HD;3-3220-796
58;Barrandov Krimi;3-3220-798
59;Kino Barrandov;3-3220-797
60;STORY4 HD;3-3221-15608
61;CS Film;3-3212-14058
62;CS Mystery;3-3219-13133
63;CS History;3-3219-13146
64;CS Horror;3-3212-14059
65;Prima Show;3-3212-14062
66;Prima STAR;3-3212-14061
67;TV Spark;3-3216-15409
68;Nova International;3-3209-13211
69;Spektrum Home;3-3213-15215
70;Fishing and Hunting;3-3220-788
71;A11;3-3220-786
72;TV8 HD;3-3221-15613
73;Mnam TV;3-3221-15610
74;Hobby TV;3-3216-15408
75;RELAX;3-3216-15417
76;Golf Channel;3-3216-15413
77;TV Lux HD;3-3233-8014
78;TV NOE;3-3234-4910
79;MTV Europe CZ;3-3220-780
80;Ocko TV;3-3224-5201
81;Ocko Star;3-3224-5202
82;Retro Music TV;3-3216-15418
83;Senzi;3-3212-14065
84;Slagr Premium HD;3-3216-15410
85;Slager Original;3-3219-13134
86;Slager Muzika;3-3209-13213
87;Jojko;3-3209-13210
88;Nick Jr Czech;3-3212-14064
89;Cartoon Network CZ;3-3212-14069
90;Disney CZ;3-3212-14076
91;duck TV;3-3212-14077
92;Minimax;3-3221-15611
93;Nicktoons CZ;3-3213-15220
94;LALA TV;3-3216-15402
95;Nickelodeon CZ;3-3219-13148
96;JimJam CZ;3-3216-15415
97;Travel XP HD;3-3202-6062
98;Vixen HD;3-3220-790
99;Penthouse Gold CZ;3-3214-14120
