1;Jednotka HD;3-3213-15224
2;Dvojka HD;3-3213-15225
3;Markiza HD;3-3214-14129
4;TV JOJ HD;3-3209-13208
5;CANAL+ Action;3-3214-14134
6;CANAL+ Sport;3-3214-14132
7;CANAL+ Sport 2;3-3216-15416
8;Filmbox;3-3212-14057
9;Filmbox Stars;3-3221-15609
10;RTVS 24 HD;3-3213-15226
11;RTVS SPORT HD;3-3213-15227
12;DOMA HD;3-3214-14130
13;DAJTO HD;3-3209-13207
14;Markiza Krimi HD;3-3209-13215
15;JOJ PLUS HD;3-3209-13209
16;WAU HD;3-3219-13135
17;JOJ 24 HD;3-3209-13216
18;TA3 HD;3-3234-4904
19;TV Lux HD;3-3233-8014
20;Filmbox Extra HD;3-3216-15406
21;Filmbox Premium HD;3-3221-15605
22;Filmbox Family;3-3216-15412
23;JOJ Cinema HD;3-3219-13145
24;CS Film;3-3212-14058
25;Epic Drama HD;3-3212-14080
26;Film+ SK;3-3213-15222
27;Film Europe+  HD;3-3221-15607
28;AXN CZ;3-3220-789
29;AXN Black;3-3213-15210
30;AXN White;3-3213-15211
31;AMC SK;3-3213-15221
32;Film Europe HD;3-3216-15405
33;CS Horror;3-3212-14059
34;Film+ HD;3-3221-15602
35;STORY4 HD;3-3221-15608
36;CT 1 HD;3-3233-8001
37;CT 2 HD;3-3233-8002
38;Nova International;3-3209-13211
39;Prima PLUS HD;3-3233-8009
40;CNN Prima News HD;3-3212-14079
41;CT 24 HD;3-3233-8003
42;CT sport HD;3-3233-8004
43;CT :D/art HD;3-3233-8005
44;Prima MAX HD;3-3212-14053
45;Prima COOL HD;3-3209-13206
46;Prima Zoom HD;3-3212-14056
47;Prima KRIMI HD;3-3212-14060
48;Prima Love HD;3-3212-14063
49;Prima Show;3-3212-14062
50;Prima STAR;3-3212-14061
51;TV Barrandov HD;3-3220-796
52;Kino Barrandov;3-3220-797
53;Barrandov Krimi;3-3220-798
54;HBO HD;3-3220-775
55;HBO2 HD;3-3221-15603
56;HBO3 HD;3-3221-15604
57;Cinemax HD;3-3216-15404
58;Cinemax2 HD;3-3221-15606
59;Nat Geo HD CZ;3-3220-771
60;Viasat Nature HD;3-3221-15601
61;Viasat History HD;3-3221-15600
62;Viasat Explore;3-3216-15407
63;Travelxp HD;3-3202-6062
64;JOJ Svet HD;3-3216-15403
65;CS Mystery;3-3219-13133
66;CS History;3-3219-13146
67;TV Spark;3-3216-15409
68;Fishing and Hunting;3-3220-788
69;National Geographic Wild HD;3-3220-773
70;Spektrum HD;3-3220-784
71;History HD;3-3216-15414
72;Love Nature HD;3-3220-783
73;DOCUBOX;3-3212-14051
74;Nautical HD;3-3208-7165
75;EarthxTV;3-3222-21233
76;Spektrum Home;3-3213-15215
77;TV Paprika;3-3212-14078
78;INPLUS;53-1105-4106
79;tv8 HD;3-3221-15613
80;Hobby TV;3-3216-15408
81;Mnam TV;3-3221-15610
82;JOJ Sport HD;3-3209-13214
83;Nova Sport 1 HD;3-3209-13203
84;Nova Sport 2 HD;3-3214-14110
85;Nova Sport 3 HD;3-3212-14054
86;Nova Sport 4 HD;3-3212-14055
87;Sport 1 HD;3-3219-13131
88;Sport 2 HD;3-3220-792
89;Golf Channel;3-3216-15413
90;FIGHTBOX;3-3202-6122
91;Arena Sport 1 HD;3-3216-15401
92;Arena Sport 2 HD;3-3214-14116
93;AutoMotorSport HD;3-3217-6103
94;CANAL+ Sport 4 TEST;3-3214-14135
95;Extreme Sports Channel;3-3213-15212
96;Jojko;3-3209-13210
