tconst	averageRating	numVotes
tt0180825	9.6	11462
tt0365498	9.5	10207
tt0583433	9.7	14363
tt0583452	9.7	10855
tt0705272	9.7	10564
tt0994365	9.7	12417
tt1000252	9.8	20011
tt10023374	9.9	38152
tt10034602	9.9	33813
tt1004798	9.7	11492
tt10064964	9.8	19646
tt10064968	9.7	16722
tt10433100	9.7	12682
tt10454726	9.5	11816
tt10454734	9.6	13387
tt10457654	9.5	13442
tt10655692	9.5	12390
tt10783086	9.5	29919
tt10883092	9.8	16199
tt11028174	9.9	14246
tt11070216	9.5	15837
tt1204265	9.8	10622
tt12187284	9.5	12265
tt12392504	9.5	136383
tt1248736	9.7	12685
tt12557700	9.6	15960
tt12557704	9.7	21446
tt13052880	9.8	51803
tt13605714	9.9	54259
tt13611850	9.5	26520
tt13819632	9.9	53025
tt13857684	9.9	70172
tt13907662	9.6	31137
tt14093766	9.7	22519
tt14132418	9.8	23710
tt14134628	9.7	21381
tt14134634	9.6	21594
tt14392248	9.6	291193
tt1444421	9.8	13083
tt14525206	9.5	18464
tt14650074	9.6	112508
tt15163002	9.8	26619
tt15163008	9.8	10172
tt15163014	9.8	11136
tt15163018	9.8	12526
tt15163020	9.8	12304
tt15163022	9.8	16725
tt15295490	9.5	13117
tt15333594	9.8	34994
tt1540125	9.5	19372
tt15496376	9.7	15019
tt15496440	9.7	13674
tt1595996	9.8	11798
tt1615552	9.5	23624
tt1615553	9.7	26694
tt1615944	9.6	24348
tt1683085	9.6	25004
tt1683086	9.7	28925
tt1683087	9.5	22621
tt1683088	9.9	55608
tt17277218	9.7	53169
tt17505964	9.9	42540
tt17521746	9.6	12787
tt17594170	9.9	39448
tt1833197	9.8	13220
tt1851397	9.5	37522
tt1851398	9.6	42630
tt1942612	9.5	38531
tt1942614	9.6	37584
tt2060963	9.8	10963
tt2084342	9.7	46306
tt2103188	9.5	56844
tt2140553	9.7	57189
tt2178784	9.9	100437
tt2178798	9.6	36175
tt2301445	9.6	28126
tt2301449	9.8	40839
tt2301451	9.9	161442
tt2301453	9.7	40745
tt2301455	9.9	107385
tt2301463	9.7	30099
tt2301467	9.6	27012
tt2301469	9.6	27258
tt2301471	9.5	26310
tt2669746	9.8	16258
tt2790174	9.7	26577
tt2790196	9.6	19753
tt2790254	9.6	22753
tt2832378	9.7	52154
tt2948638	9.7	25287
tt2993508	9.7	24288
tt3060782	9.7	52161
tt3060858	9.6	44774
tt3060860	9.7	44224
tt3060910	9.7	49384
tt3148020	9.7	13988
tt3174248	9.5	13032
tt3230908	9.8	19071
tt3297776	9.6	26093
tt3334704	9.5	26054
tt3683576	9.6	10231
tt3866650	9.5	15921
tt3866826	9.5	42644
tt3866850	9.9	97928
tt3895286	9.5	12408
tt4006548	9.6	11931
tt4057372	9.9	32843
tt4089754	9.8	13683
tt4128194	9.8	12323
tt4138338	9.6	14148
tt4146568	9.6	12216
tt4283028	9.7	69243
tt4283088	9.9	202462
tt4283094	9.9	142618
tt4575388	9.7	27455
tt4630546	9.5	19884
tt4679214	9.8	10100
tt4701542	9.6	10583
tt4730026	9.5	12512
tt4832262	9.6	16933
tt4935616	9.5	10444
tt5218228	9.6	20243
tt5218332	9.8	30292
tt5229638	9.7	29257
tt5491994	9.5	110207
tt5719536	9.7	14836
tt5775846	9.8	86068
tt5838588	9.6	22859
tt6080222	9.5	12807
tt6161168	9.7	30809
tt6223224	9.6	12803
tt6290024	9.5	10261
tt6542628	9.8	10014
tt6633696	9.7	10256
tt6723680	9.9	29702
tt6723686	9.7	13706
tt6723708	9.7	13166
tt6723710	9.8	22079
tt7450814	9.5	17187
tt7690818	9.5	22323
tt7958030	9.5	12444
tt8084166	9.7	11991
tt8084176	9.9	26448
tt8084180	9.8	11735
tt8162428	9.5	51208
tt8253126	9.7	13403
tt8266826	9.8	13619
tt8482972	9.6	48415
tt8517724	9.5	13669
tt8543958	9.5	12640
tt8733180	9.7	14920
tt8733184	9.5	12156
tt8772218	9.7	15142
tt8772220	9.8	15221
tt9038682	9.7	17098
tt9166672	9.6	45454
tt9166696	9.8	58131
tt9313966	9.8	12208
tt9313968	9.8	11141
tt9313978	9.8	12270
tt9471404	9.5	23961
tt9790722	9.7	16762
tt9806162	9.7	17434
tt9898836	9.9	47094
tt9906260	9.9	86509
