tconst	averageRating	numVotes
tt0180825	9.6	12139
tt0184666	9.6	10024
tt0208155	9.5	10911
tt0365498	9.5	10743
tt0533466	9.7	10318
tt0583433	9.6	15616
tt0583452	9.7	12057
tt0701989	9.9	10551
tt0705272	9.7	13060
tt0877058	9.5	10905
tt0903747	9.5	1950837
tt0994365	9.7	13668
tt1000252	9.8	21617
tt10023374	9.9	46049
tt10034602	9.8	39320
tt1004798	9.7	12439
tt10064964	9.7	23918
tt10064968	9.5	20288
tt10433100	9.8	15016
tt10454734	9.5	14723
tt10883092	9.8	18980
tt11028174	9.9	17928
tt11172022	9.6	38623
tt11294360	9.9	10854
tt11630828	9.8	49965
tt1204265	9.9	12794
tt1216108	9.8	10186
tt12187032	9.7	28933
tt12187040	9.9	48902
tt12187044	9.7	34703
tt12188572	9.5	25134
tt1248736	9.7	14977
tt12557704	9.6	23443
tt13052880	9.8	58284
tt13119450	9.7	11994
tt13424098	9.7	12920
tt13605714	9.8	61559
tt13819632	9.8	60123
tt13847928	9.5	15189
tt13857684	9.9	79704
tt13907662	9.5	35370
tt14093766	9.6	27077
tt14132418	9.7	28887
tt14134628	9.6	25716
tt14134634	9.5	25898
tt14143312	9.6	30286
tt1444421	9.8	14107
tt1511910	9.6	10249
tt15319556	9.5	11505
tt1540125	9.5	20581
tt15423196	9.8	11226
tt15496376	9.6	18665
tt15496440	9.6	17048
tt1595996	9.8	13073
tt1615552	9.5	28945
tt1615553	9.6	32425
tt1615944	9.6	29739
tt1626753	9.7	10840
tt1627712	9.6	10366
tt16747572	9.6	10360
tt1683085	9.6	30803
tt1683086	9.7	35856
tt1683087	9.5	27666
tt1683088	9.9	66964
tt17277218	9.8	61083
tt17505964	9.9	54912
tt17521746	9.8	18458
tt17594170	9.9	53619
tt1833197	9.8	16137
tt1851398	9.6	47339
tt18856536	9.6	17016
tt18953204	9.7	22384
tt1942614	9.6	39243
tt19811660	9.7	21188
tt2060963	9.8	12469
tt2084342	9.6	50755
tt2103188	9.5	64843
tt21357640	9.7	32694
tt2140553	9.7	69971
tt2178784	9.9	110255
tt2178798	9.5	39708
tt2301445	9.6	33372
tt2301449	9.8	49128
tt2301451	10.0	193114
tt2301453	9.7	48263
tt2301455	9.9	127031
tt2301463	9.7	36239
tt2301467	9.5	32839
tt2301469	9.6	32549
tt2669746	9.8	19464
tt2790174	9.6	29350
tt2790196	9.5	21928
tt2790254	9.5	25325
tt2832378	9.7	56839
tt2948638	9.6	27746
tt2993508	9.7	29315
tt3060782	9.7	56705
tt3060858	9.6	49464
tt3060860	9.6	48566
tt3060910	9.7	54685
tt3148020	9.6	17187
tt3230908	9.8	20169
tt3297776	9.6	28560
tt3334704	9.5	32139
tt3390684	9.5	10322
tt3683576	9.5	12932
tt3866850	9.8	103727
tt4006548	9.5	12191
tt4089754	9.7	14378
tt4128194	9.8	12841
tt4138338	9.6	14724
tt4146568	9.5	12689
tt4283028	9.7	74187
tt4283088	9.9	215366
tt4283094	9.9	152855
tt4370552	9.5	11292
tt4575388	9.6	30193
tt4679214	9.8	10606
tt4701542	9.6	11592
tt4832262	9.5	18938
tt5218228	9.6	22367
tt5218332	9.8	33305
tt5218434	9.6	10363
tt5229638	9.7	31147
tt5491994	9.5	148879
tt5690552	9.5	10261
tt5719536	9.7	24030
tt5775846	9.7	90722
tt5838588	9.5	32332
tt6080222	9.7	12921
tt6161168	9.7	43381
tt6223224	9.6	14235
tt6542628	9.8	11863
tt6633696	9.7	11968
tt6635194	9.6	10711
tt6723680	9.8	36254
tt6723686	9.6	16853
tt6723708	9.5	16121
tt6723710	9.7	26354
tt6741930	9.5	10217
tt7074030	9.5	15907
tt7678620	9.5	14292
tt8084166	9.7	13865
tt8084176	9.9	30852
tt8084180	9.7	13480
tt8253126	9.7	14120
tt8266826	9.8	16137
tt8482972	9.6	50595
tt8565640	9.6	10440
tt8733180	9.5	17876
tt8772218	9.7	23944
tt8772220	9.7	23708
tt8919318	9.5	10599
tt8956332	9.8	11921
tt9038682	9.6	20531
tt9166672	9.5	47407
tt9166696	9.8	60824
tt9313962	9.7	11021
tt9313966	9.9	14645
tt9313968	9.8	13278
tt9313978	9.9	15356
tt9691188	9.6	10989
tt9790722	9.5	19983
tt9806162	9.6	20768
tt9898836	9.9	56241
tt9906260	9.9	100786
