tconst	averageRating	numVotes
tt0012349	8.3	127006
tt0015864	8.2	111986
tt0017136	8.3	175007
tt0021749	8.5	185199
tt0022100	8.3	158645
tt0025316	8.1	104680
tt0027977	8.5	242849
tt0029583	7.6	200644
tt0031381	8.2	316188
tt0031679	8.1	116281
tt0032138	8.1	400409
tt0032553	8.4	224439
tt0032910	7.5	148079
tt0032976	8.1	137981
tt0033467	8.3	442429
tt0033563	7.2	133098
tt0033870	8.0	159410
tt0034492	7.3	144184
tt0034583	8.5	571124
tt0036775	8.3	158044
tt0038650	8.6	455126
tt0038787	7.9	101853
tt0040522	8.3	164176
tt0040746	7.9	144624
tt0040897	8.2	125604
tt0041959	8.1	172421
tt0042192	8.2	131983
tt0042332	7.3	161710
tt0042876	8.2	169294
tt0043014	8.4	222483
tt0043274	7.4	143060
tt0044079	7.9	134700
tt0044081	7.9	109007
tt0044706	8.0	105024
tt0045152	8.3	242992
tt0046183	7.3	141287
tt0046250	8.0	139336
tt0046912	8.2	176741
tt0047296	8.1	155888
tt0047396	8.5	491528
tt0047478	8.6	345936
tt0048280	7.3	137038
tt0050083	9.0	787513
tt0050212	8.2	221531
tt0050825	8.4	197939
tt0050976	8.1	185958
tt0050986	8.1	107994
tt0051201	8.4	126021
tt0052311	8.0	105244
tt0052357	8.3	402673
tt0052618	8.1	239976
tt0053125	8.3	328599
tt0053198	8.1	118721
tt0053285	7.2	150164
tt0053291	8.2	267939
tt0053604	8.3	182205
tt0054215	8.5	670971
tt0054331	7.9	135762
tt0054698	7.6	181445
tt0055254	7.3	169313
tt0055614	7.6	114774
tt0055630	8.2	123554
tt0055928	7.2	168759
tt0056172	8.3	294382
tt0056193	7.5	102515
tt0056592	8.3	317253
tt0056801	8.0	118635
tt0056869	7.6	190633
tt0057012	8.4	491156
tt0057076	7.4	136230
tt0057115	8.2	245231
tt0058150	7.7	191788
tt0058331	7.8	173770
tt0058461	7.9	218419
tt0059578	8.2	257399
tt0059742	8.1	235171
tt0059800	6.9	119691
tt0060196	8.8	759900
tt0060827	8.1	119481
tt0061418	7.7	113961
tt0061512	8.1	178097
tt0061722	8.0	274231
tt0061852	7.6	184220
tt0062512	6.8	110730
tt0062622	8.3	667998
tt0063350	7.8	130428
tt0063442	8.0	181153
tt0063522	8.0	218282
tt0064115	8.0	216815
tt0064116	8.5	329504
tt0064276	7.3	110875
tt0064665	7.8	111867
tt0065421	7.1	105347
tt0066206	7.9	102847
tt0066921	8.3	828835
tt0066995	6.5	107627
tt0066999	7.7	157859
tt0067116	7.7	123888
tt0067992	7.8	202918
tt0068473	7.7	110594
tt0068646	9.2	1847895
tt0070034	7.6	105415
tt0070047	8.1	408854
tt0070328	6.7	108915
tt0070379	7.2	110347
tt0070511	8.0	131430
tt0070608	7.5	128559
tt0070666	7.7	124241
tt0070735	8.3	262893
tt0071230	7.7	140732
tt0071315	8.2	327354
tt0071360	7.8	112912
tt0071562	9.0	1265540
tt0071807	6.7	106720
tt0071853	8.2	541840
tt0072271	7.4	164657
tt0072431	8.0	159598
tt0072684	8.1	168796
tt0072890	8.0	258097
tt0073195	8.1	606119
tt0073486	8.7	1005408
tt0073629	7.4	154203
tt0074119	7.9	116682
tt0074285	7.4	189612
tt0074486	7.3	117582
tt0074958	8.1	160382
tt0075005	7.5	121435
tt0075148	8.1	575645
tt0075314	8.2	829642
tt0075686	8.0	266467
tt0075860	7.6	203190
tt0076752	7.0	109981
tt0076759	8.6	1360211
tt0077402	7.8	122072
tt0077416	8.1	340070
tt0077631	7.2	277613
tt0077651	7.7	282268
tt0077975	7.4	122071
tt0078346	7.4	176116
tt0078748	8.5	880208
tt0078788	8.5	666425
tt0079116	7.6	137168
tt0079417	7.8	146216
tt0079470	8.0	400417
tt0079501	6.8	208814
tt0079522	7.9	141012
tt0079574	6.2	102308
tt0079817	7.3	210957
tt0079944	8.1	134895
tt0080120	7.5	103577
tt0080339	7.7	240685
tt0080455	7.9	200839
tt0080487	7.2	119032
tt0080678	8.2	242046
tt0080684	8.7	1287670
tt0080761	6.4	141911
tt0081398	8.2	354714
tt0081505	8.4	1019034
tt0081573	6.8	108390
tt0082010	7.5	109390
tt0082096	8.4	251610
tt0082198	6.9	151081
tt0082340	7.1	144186
tt0082398	6.7	102501
tt0082694	7.6	181976
tt0082971	8.4	963497
tt0083658	8.1	768565
tt0083866	7.9	410287
tt0083907	7.4	211676
tt0083929	7.1	106613
tt0083944	7.7	254098
tt0083987	8.1	232382
tt0084516	7.3	166190
tt0084602	6.8	192465
tt0084726	7.7	122546
tt0084787	8.2	425678
tt0084805	7.4	107932
tt0084827	6.7	122642
tt0085334	7.9	151367
tt0085794	7.8	104937
tt0085959	7.5	120648
tt0085995	7.3	110711
tt0086034	6.5	107059
tt0086190	8.3	1051019
tt0086250	8.3	838763
tt0086465	7.5	152752
tt0086567	7.1	101585
tt0086879	8.4	401409
tt0086960	7.3	185861
tt0087182	6.3	162719
tt0087332	7.8	416438
tt0087363	7.3	225926
tt0087469	7.5	488486
tt0087538	7.3	227022
tt0087544	8.0	170045
tt0087800	7.4	242065
tt0087843	8.3	352316
tt0087884	8.1	107107
tt0087928	6.7	127658
tt0088128	7.0	117381
tt0088247	8.1	863656
tt0088258	7.9	140524
tt0088323	7.3	145984
tt0088763	8.5	1199778
tt0088846	7.9	201753
tt0088847	7.8	399493
tt0088944	6.7	162596
tt0089218	7.7	275021
tt0089530	6.2	138095
tt0089880	6.5	170492
tt0089881	8.2	126302
tt0089927	6.8	206770
tt0090555	6.6	106555
tt0090605	8.4	716691
tt0090728	7.2	142148
tt0090756	7.7	200582
tt0091042	7.8	359633
tt0091064	7.6	184631
tt0091203	7.1	136940
tt0091369	7.3	138664
tt0091605	7.7	109617
tt0091763	8.1	414990
tt0092005	8.1	404269
tt0092067	8.0	167353
tt0092099	6.9	438870
tt0092400	8.1	104519
tt0092455	8.7	121052
tt0092644	6.5	121072
tt0092890	7.0	233754
tt0092965	7.7	126745
tt0092991	7.7	166224
tt0093058	8.3	741956
tt0093105	7.3	142615
tt0093177	6.9	128861
tt0093389	7.7	104214
tt0093409	7.6	260116
tt0093437	7.2	145766
tt0093748	7.6	144648
tt0093773	7.8	424487
tt0093779	8.0	428130
tt0093822	7.3	140573
tt0093870	7.6	260274
tt0093894	6.6	154905
tt0094012	7.1	191962
tt0094226	7.9	311005
tt0094291	7.3	156871
tt0094625	8.0	187474
tt0094721	7.5	307517
tt0094737	7.3	222418
tt0094862	6.6	104833
tt0094898	7.1	209128
tt0095016	8.2	874703
tt0095159	7.5	143673
tt0095327	8.5	277199
tt0095647	7.8	101724
tt0095705	7.6	171068
tt0095765	8.5	261317
tt0095953	8.0	514996
tt0095956	5.8	132473
tt0096061	6.9	101426
tt0096256	7.2	131645
tt0096283	8.1	339441
tt0096320	6.1	126043
tt0096438	7.7	202651
tt0096446	7.2	117185
tt0096657	8.6	120470
tt0096697	8.7	407250
tt0096754	7.5	178998
tt0096874	7.8	533293
tt0096895	7.5	378703
tt0096928	6.9	132463
tt0096969	7.2	107878
tt0097165	8.1	490522
tt0097216	7.9	103034
tt0097239	7.3	110840
tt0097351	7.5	120493
tt0097428	6.6	208935
tt0097441	7.8	135991
tt0097493	7.2	105696
tt0097523	6.4	156206
tt0097576	8.2	753644
tt0097733	7.2	177589
tt0097742	6.6	105937
tt0097757	7.6	264589
tt0097814	7.8	145669
tt0097958	7.5	189764
tt0098084	6.5	106148
tt0098439	6.4	106875
tt0098635	7.7	222022
tt0098800	7.9	135340
tt0098904	8.9	318596
tt0098936	8.8	198090
tt0099077	7.8	142831
tt0099088	7.4	447768
tt0099348	8.0	266401
tt0099423	7.1	362752
tt0099487	7.9	492051
tt0099653	7.1	218680
tt0099674	7.6	397707
tt0099685	8.7	1155868
tt0099700	6.4	104979
tt0099785	7.7	568282
tt0099810	7.5	201639
tt0099864	6.8	130217
tt0099871	7.4	109717
tt0099938	6.2	151097
tt0100150	7.7	136170
tt0100157	7.8	213667
tt0100403	6.3	170165
tt0100405	7.1	326634
tt0100507	5.3	138586
tt0100802	7.5	332335
tt0100814	7.1	139873
tt0101272	6.9	159674
tt0101410	7.6	122776
tt0101414	8.0	455201
tt0101507	7.8	141898
tt0101540	7.3	196856
tt0102057	6.8	255741
tt0102059	6.7	109590
tt0102138	8.0	157209
tt0102266	7.0	104440
tt0102510	6.9	114624
tt0102685	7.2	184719
tt0102798	6.9	195235
tt0102926	8.6	1426745
tt0103064	8.6	1095579
tt0103074	7.5	156533
tt0103359	9.0	104427
tt0103639	8.0	420055
tt0103644	6.4	301733
tt0103772	7.0	201764
tt0103776	7.1	306646
tt0103855	6.3	136313
tt0103874	7.4	219848
tt0104070	6.6	120929
tt0104257	7.7	265684
tt0104348	7.7	106539
tt0104431	6.8	355411
tt0104691	7.7	171776
tt0104694	7.3	110408
tt0104714	6.7	169715
tt0104952	7.6	126166
tt0105112	6.8	113340
tt0105236	8.3	1015332
tt0105323	8.0	297580
tt0105417	6.5	100309
tt0105695	8.2	412638
tt0105793	7.0	158623
tt0106179	8.6	226298
tt0106308	7.4	179873
tt0106489	7.8	143275
tt0106519	7.9	219551
tt0106582	6.5	131257
tt0106611	7.0	105287
tt0106677	7.6	185251
tt0106697	6.7	178224
tt0106856	7.6	191530
tt0106918	6.8	136456
tt0106977	7.8	296511
tt0107048	8.1	631090
tt0107120	6.9	143352
tt0107206	7.2	105176
tt0107207	8.1	175903
tt0107290	8.2	985863
tt0107362	6.4	153204
tt0107614	7.1	269391
tt0107688	7.9	340357
tt0107818	7.7	243353
tt0107977	6.7	127732
tt0108052	9.0	1350181
tt0108160	6.8	177575
tt0108358	7.8	150318
tt0108394	7.9	102939
tt0108399	7.9	228059
tt0108550	7.7	238697
tt0108778	8.9	991809
tt0109040	6.9	303423
tt0109444	6.9	100930
tt0109445	7.7	224075
tt0109506	7.5	186059
tt0109686	7.3	386734
tt0109707	7.8	177292
tt0109830	8.8	2067094
tt0109831	7.1	154104
tt0110148	7.5	325728
tt0110322	7.5	168060
tt0110357	8.5	1054356
tt0110413	8.5	1157065
tt0110475	6.9	387609
tt0110478	7.0	112917
tt0110622	6.5	105401
tt0110632	7.2	236738
tt0110912	8.9	2041268
tt0111070	6.5	118066
tt0111161	9.3	2666678
tt0111257	7.3	365456
tt0111282	7.0	192247
tt0111495	8.1	103887
tt0111503	7.3	260377
tt0112281	6.4	219160
tt0112384	7.7	296446
tt0112431	6.9	126642
tt0112442	6.8	266799
tt0112461	7.3	112520
tt0112462	5.4	254340
tt0112471	8.1	308699
tt0112508	6.3	146092
tt0112573	8.4	1036101
tt0112641	8.2	520011
tt0112642	6.1	136241
tt0112697	6.9	220198
tt0112740	7.3	114244
tt0112851	7.1	187293
tt0112864	7.6	388444
tt0113101	6.7	105699
tt0113118	7.2	114916
tt0113189	7.2	258616
tt0113247	8.1	174563
tt0113277	8.3	653836
tt0113492	5.6	119160
tt0113497	7.0	347082
tt0113568	7.9	144032
tt0113627	7.5	125864
tt0113749	7.0	123827
tt0113855	5.8	118936
tt0114069	6.6	130846
tt0114148	6.7	188707
tt0114369	8.6	1643862
tt0114388	7.7	117160
tt0114709	8.3	991086
tt0114746	8.0	618623
tt0114814	8.5	1082706
tt0114898	6.2	197780
tt0114924	6.7	104330
tt0115433	5.7	112101
tt0115798	6.1	166774
tt0116209	7.4	191269
tt0116213	6.2	112854
tt0116282	8.1	677796
tt0116367	7.2	316449
tt0116483	7.0	227319
tt0116583	7.0	159013
tt0116629	7.0	576345
tt0116695	7.3	267996
tt0116705	5.7	105018
tt0116922	7.6	143572
tt0116996	6.4	229320
tt0117008	6.9	153677
tt0117060	7.1	427609
tt0117218	5.7	118007
tt0117381	7.7	219363
tt0117438	6.7	129455
tt0117500	7.4	339635
tt0117509	6.7	230566
tt0117571	7.4	344705
tt0117665	7.5	224392
tt0117705	6.5	198938
tt0117731	7.6	126264
tt0117913	7.5	162414
tt0117951	8.1	687028
tt0117998	6.4	197997
tt0118276	8.3	147768
tt0118571	6.5	197684
tt0118583	6.2	249117
tt0118615	4.8	105769
tt0118617	7.1	125222
tt0118655	7.0	242079
tt0118688	3.7	254948
tt0118689	6.5	106042
tt0118694	8.1	150619
tt0118715	8.1	807725
tt0118749	7.9	266911
tt0118799	8.6	693276
tt0118842	7.2	139084
tt0118880	6.9	301168
tt0118883	6.7	101619
tt0118884	7.5	276244
tt0118929	7.6	201174
tt0118971	7.5	373408
tt0119008	7.7	309774
tt0119081	6.6	182397
tt0119094	7.3	378959
tt0119116	7.6	474912
tt0119164	7.2	107361
tt0119174	7.7	397546
tt0119177	7.8	305765
tt0119217	8.3	964426
tt0119282	7.3	232858
tt0119303	4.5	117645
tt0119345	5.8	148118
tt0119395	6.4	118209
tt0119396	7.5	350783
tt0119488	8.2	583251
tt0119528	6.9	310708
tt0119567	6.5	419137
tt0119643	7.2	243590
tt0119654	7.3	569481
tt0119698	8.4	394453
tt0119738	6.3	144007
tt0119822	7.7	300093
tt0120082	6.3	185602
tt0120102	7.1	145576
tt0120184	6.1	107449
tt0120188	7.1	173240
tt0120201	7.3	297527
tt0120338	7.9	1168825
tt0120347	6.5	195920
tt0120363	7.9	581267
tt0120382	8.2	1076638
tt0120484	6.1	165892
tt0120586	8.5	1119727
tt0120587	6.6	156444
tt0120591	6.7	427483
tt0120601	7.8	336877
tt0120611	7.1	276626
tt0120616	7.1	430971
tt0120623	7.2	294270
tt0120630	7.1	193642
tt0120632	6.7	121779
tt0120647	6.2	179924
tt0120655	7.3	219380
tt0120657	6.6	125723
tt0120660	7.3	245795
tt0120663	7.5	342663
tt0120667	5.7	331312
tt0120669	7.5	283977
tt0120681	6.7	157151
tt0120685	5.4	194726
tt0120689	8.6	1295847
tt0120735	8.2	582401
tt0120737	8.8	1867406
tt0120744	6.5	168832
tt0120746	6.8	185936
tt0120755	6.1	343888
tt0120762	7.6	289180
tt0120768	7.3	144116
tt0120783	6.6	139677
tt0120784	7.1	139636
tt0120789	7.5	130516
tt0120794	7.1	133576
tt0120804	6.6	272916
tt0120812	7.0	270351
tt0120815	8.6	1385943
tt0120855	7.3	227893
tt0120863	7.6	188860
tt0120873	6.5	106891
tt0120888	6.9	151872
tt0120889	6.9	109636
tt0120890	6.6	121970
tt0120891	4.9	161911
tt0120902	7.0	106460
tt0120903	7.3	616761
tt0120907	6.8	101520
tt0120912	6.1	377049
tt0120915	6.5	805031
tt0120917	7.4	205535
tt0121164	7.3	275833
tt0121765	6.6	710906
tt0121766	7.6	790955
tt0121955	8.7	369392
tt0122151	6.6	164492
tt0122690	7.2	185286
tt0122718	6.2	100286
tt0122933	6.7	155442
tt0123755	7.2	232539
tt0124315	7.4	100115
tt0125439	7.2	313311
tt0125664	7.4	131982
tt0126029	7.9	676560
tt0127536	7.4	100209
tt0128442	7.3	152387
tt0128445	7.6	186638
tt0128853	6.7	215581
tt0129167	8.1	198861
tt0129290	6.8	114687
tt0129387	7.1	312906
tt0130827	7.7	199826
tt0133093	8.7	1905184
tt0133152	5.7	220916
tt0133240	7.2	119962
tt0133751	6.5	125081
tt0134084	5.6	145010
tt0134119	7.4	213625
tt0134273	6.5	134293
tt0134847	7.1	241340
tt0137494	6.3	117072
tt0137523	8.8	2112108
tt0138097	7.1	226006
tt0138704	7.3	179484
tt0139134	6.8	193472
tt0139654	7.7	437578
tt0140352	7.8	172185
tt0141842	9.2	397873
tt0142342	6.4	219108
tt0142688	6.7	183759
tt0143145	6.4	202111
tt0144084	7.6	616310
tt0144117	7.7	240289
tt0145487	7.4	816563
tt0145660	6.6	235200
tt0145681	6.7	171450
tt0146316	5.7	210520
tt0146675	5.8	111606
tt0146838	6.9	120785
tt0146882	7.4	181453
tt0147800	7.3	344220
tt0149261	5.9	134980
tt0149460	8.5	238417
tt0151804	7.7	268534
tt0158983	7.7	205738
tt0159097	7.2	156423
tt0159206	7.3	127630
tt0159273	6.4	106752
tt0159365	7.2	149832
tt0160127	5.6	188322
tt0161081	6.6	127792
tt0162222	7.8	592201
tt0162346	7.3	121883
tt0162661	7.3	362576
tt0163025	5.9	323779
tt0163651	7.0	408443
tt0163978	6.6	240666
tt0164052	5.8	132470
tt0164184	6.4	117629
tt0164912	6.0	136805
tt0165598	8.1	172076
tt0166924	7.9	356602
tt0167190	6.8	330869
tt0167260	9.0	1838247
tt0167261	8.8	1659881
tt0167404	8.2	990587
tt0168629	7.9	110741
tt0169102	8.1	115014
tt0169547	8.4	1152974
tt0170016	6.2	248467
tt0172156	6.6	252294
tt0172493	7.3	189986
tt0172495	8.5	1494320
tt0175142	6.2	263180
tt0175880	8.0	313689
tt0177789	7.4	165131
tt0177971	6.4	169345
tt0180093	8.3	840507
tt0181689	7.6	552594
tt0181852	6.3	401120
tt0181865	7.6	208399
tt0181875	7.9	277437
tt0182576	8.2	339575
tt0182789	6.9	118462
tt0183505	6.6	239152
tt0183649	7.1	270709
tt0183790	6.9	188577
tt0184894	6.6	128547
tt0185431	5.3	106712
tt0185906	9.4	467483
tt0185937	6.5	263658
tt0186151	7.4	109367
tt0187078	6.5	280124
tt0187393	7.2	276561
tt0187738	6.7	220544
tt0190138	6.7	122204
tt0190332	7.9	270256
tt0190590	7.7	313283
tt0193676	8.8	143342
tt0195685	7.4	199416
tt0195714	6.7	257843
tt0196229	6.5	266536
tt0198781	8.1	907150
tt0200465	7.2	182685
tt0200550	5.7	116058
tt0203009	7.6	286315
tt0203019	7.2	118038
tt0203259	8.1	107318
tt0206634	7.9	501602
tt0207201	6.4	209466
tt0208092	8.2	854965
tt0209144	8.4	1234662
tt0209163	6.4	326899
tt0209958	6.4	103800
tt0210945	7.8	216885
tt0211915	8.3	756306
tt0212338	7.0	336685
tt0212346	6.3	212219
tt0212671	8.1	132287
tt0212720	7.2	309025
tt0212985	6.8	276539
tt0213149	6.2	334045
tt0213338	8.9	119992
tt0213847	7.4	103678
tt0214341	8.8	131394
tt0215129	6.5	170574
tt0215750	7.6	263792
tt0216216	5.9	123358
tt0217505	7.5	443138
tt0217869	7.3	419162
tt0218967	6.8	111490
tt0221027	7.5	261926
tt0223897	7.2	119916
tt0227445	6.8	128946
tt0227538	5.6	118710
tt0230011	6.9	121406
tt0230030	6.1	105585
tt0230600	7.6	368608
tt0232500	6.8	386681
tt0234215	7.2	595586
tt0236493	6.1	109242
tt0238380	7.3	332266
tt0238784	8.2	127679
tt0240772	7.7	575360
tt0240890	6.8	114221
tt0241303	7.3	192981
tt0241527	7.6	777540
tt0242423	5.5	140879
tt0242653	6.7	514281
tt0243133	7.5	110319
tt0243155	6.8	245572
tt0244244	6.5	188732
tt0245429	8.6	760145
tt0245574	7.7	123781
tt0245712	8.1	241235
tt0245844	7.7	139089
tt0246460	6.1	220645
tt0246578	8.0	801247
tt0247638	6.3	147716
tt0247745	7.0	106141
tt0248654	8.7	135604
tt0248667	6.7	100515
tt0249462	7.7	135767
tt0250494	6.4	220094
tt0250687	6.4	117332
tt0251075	6.1	129922
tt0251127	6.4	240815
tt0251160	7.1	135507
tt0252866	6.4	257479
tt0253474	8.5	829247
tt0253556	6.2	137784
tt0256380	6.0	135472
tt0256415	6.2	114997
tt0257044	7.7	269388
tt0257076	6.0	148547
tt0257106	5.3	163321
tt0257360	7.2	129337
tt0258000	6.8	281304
tt0258463	7.9	547933
tt0259324	5.2	240697
tt0259446	6.6	133607
tt0259711	6.9	269017
tt0261392	6.8	156059
tt0263488	6.2	130982
tt0264235	8.8	129073
tt0264464	8.1	977918
tt0265086	7.7	397835
tt0265208	6.7	226359
tt0265459	6.8	124589
tt0265666	7.6	293897
tt0266308	7.6	184188
tt0266543	8.2	1041359
tt0266697	8.2	1112513
tt0266915	6.6	221709
tt0266987	7.0	158211
tt0267913	5.2	114950
tt0268126	7.7	193764
tt0268380	7.5	483892
tt0268695	5.9	125495
tt0268978	8.2	931153
tt0272152	7.4	185219
tt0272338	7.3	166278
tt0274166	6.2	162227
