tconst	averageRating	numVotes
tt0050083	9.0	808991
tt0068646	9.2	1900915
tt0071562	9.0	1295988
tt0103359	9.0	107980
tt0108052	9.0	1380160
tt0111161	9.3	2733771
tt0141842	9.2	420396
tt0167260	9.0	1880470
tt0185906	9.4	482038
tt0303461	9.0	271053
tt0306414	9.3	351063
tt0386676	9.0	635691
tt0417299	9.3	329277
tt0468569	9.0	2706876
tt0795176	9.4	213191
tt0877057	9.0	340507
tt0903747	9.5	1966291
tt0944947	9.2	2155343
tt11126994	9.0	225543
tt11957006	9.1	106943
tt12392504	9.3	147629
tt1355642	9.1	177267
tt14392248	9.2	299486
tt1475582	9.1	947546
tt2098220	9.0	109858
tt2178784	9.9	110837
tt2301451	10.0	195237
tt2301455	9.9	128047
tt2395695	9.3	124084
tt2560140	9.1	407172
tt2861424	9.1	548492
tt3866850	9.8	103989
tt4283088	9.9	215978
tt4283094	9.9	153362
tt5491994	9.5	149674
tt7366338	9.4	792583
tt8420184	9.1	132752
tt9906260	9.9	101411
